date,start,actual
2024-08-01,00:00,354.96
2024-08-01,01:00,328.62
2024-08-01,02:00,321.27
2024-08-01,03:00,340.24
2024-08-01,04:00,358.2
2024-08-01,05:00,407.13
2024-08-01,06:00,515.87
2024-08-01,07:00,555.28
2024-08-01,08:00,535.96
2024-08-01,09:00,561.85
2024-08-01,10:00,567.69
2024-08-01,11:00,593.33
2024-08-01,12:00,592.21
2024-08-01,13:00,575.43
2024-08-01,14:00,601.96
2024-08-01,15:00,620.19
2024-08-01,16:00,624.6
2024-08-01,17:00,621.75
2024-08-01,18:00,623.08
2024-08-01,19:00,615.89
2024-08-01,20:00,588.52
2024-08-01,21:00,541.59
2024-08-01,22:00,471.97
2024-08-01,23:00,378.38
2024-08-02,00:00,306.24
2024-08-02,01:00,294.17
2024-08-02,02:00,293.04
2024-08-02,03:00,302.71
2024-08-02,04:00,340.8
2024-08-02,05:00,405.7
2024-08-02,06:00,526.77
2024-08-02,07:00,562.19
2024-08-02,08:00,560.82
2024-08-02,09:00,607.91
2024-08-02,10:00,604.46
2024-08-02,11:00,604.18
2024-08-02,12:00,606.53
2024-08-02,13:00,617.99
2024-08-02,14:00,646.31
2024-08-02,15:00,657.44
2024-08-02,16:00,666.93
2024-08-02,17:00,684.6
2024-08-02,18:00,671.56
2024-08-02,19:00,674.92
2024-08-02,20:00,676.17
2024-08-02,21:00,637.65
2024-08-02,22:00,493.82
2024-08-02,23:00,380.12
2024-08-03,00:00,308.29
2024-08-03,01:00,267.48
2024-08-03,02:00,251.15
2024-08-03,03:00,254.97
2024-08-03,04:00,287.01
2024-08-03,05:00,362.84
2024-08-03,06:00,521.75
2024-08-03,07:00,619.62
2024-08-03,08:00,611.87
2024-08-03,09:00,613.45
2024-08-03,10:00,620.0
2024-08-03,11:00,640.14
2024-08-03,12:00,651.15
2024-08-03,13:00,659.24
2024-08-03,14:00,662.8
2024-08-03,15:00,669.29
2024-08-03,16:00,683.79
2024-08-03,17:00,690.28
2024-08-03,18:00,710.79
2024-08-03,19:00,716.06
2024-08-03,20:00,693.71
2024-08-03,21:00,651.56
2024-08-03,22:00,550.86
2024-08-03,23:00,450.63
2024-08-04,00:00,395.02
2024-08-04,01:00,371.95
2024-08-04,02:00,388.54
2024-08-04,03:00,428.71
