trace,op_ems,emb_ems
chipseq-dec-3,2473.2323013186124,0.0
chipseq-dec-3~+00-01-00,2562.158060839217,0.0
chipseq-dec-3~+00-02-00,2635.9572538099246,0.0
chipseq-dec-3~+00-03-00,2728.391394410513,0.0
chipseq-dec-3~+00-04-00,2885.369085893748,0.0
chipseq-dec-3~+00-05-00,2902.758562943099,0.0
chipseq-dec-3~+00-06-00,3061.1896146662884,0.0
chipseq-dec-3~+00-07-00,3137.9471516344393,0.0
chipseq-dec-3~+00-08-00,3133.6303016896672,0.0
chipseq-dec-3~+00-09-00,3133.4186222980193,0.0
chipseq-dec-3~+00-10-00,3094.1346555785476,0.0
chipseq-dec-3~+00-11-00,3016.4307655785396,0.0
chipseq-dec-3~+00-12-00,2905.367114533244,0.0
chipseq-dec-3~+00-13-00,2873.2931006226204,0.0
chipseq-dec-3~+00-14-00,2866.20323102187,0.0
chipseq-dec-3~+00-15-00,2857.690020520913,0.0
chipseq-dec-3~+00-16-00,2904.770315482383,0.0
chipseq-dec-3~+00-17-00,2881.271336702953,0.0
chipseq-dec-3~+00-18-00,2829.7116236933543,0.0
chipseq-dec-3~+00-19-00,2833.3505095704413,0.0
chipseq-dec-3~+00-20-00,2806.933710262426,0.0
chipseq-dec-3~+00-21-00,2782.4184505776852,0.0
chipseq-dec-3~+00-22-00,2656.430773737684,0.0
chipseq-dec-3~+00-23-00,2654.2113917979295,0.0
chipseq-dec-3~+01-00-00,2729.2150300826124,0.0
