trace,op_ems,emb_ems
chipseq-feb-1,943.185739916385,0.0
chipseq-feb-1~+00-01-00,736.2397610986683,0.0
chipseq-feb-1~+00-02-00,687.9444025728028,0.0
chipseq-feb-1~+00-03-00,747.3720510721613,0.0
chipseq-feb-1~+00-04-00,722.8742631031153,0.0
chipseq-feb-1~+00-05-00,831.0983417253981,0.0
chipseq-feb-1~+00-06-00,939.4159720677653,0.0
chipseq-feb-1~+00-07-00,968.5259834690676,0.0
chipseq-feb-1~+00-08-00,977.2146056333381,0.0
chipseq-feb-1~+00-09-00,908.3547760956775,0.0
chipseq-feb-1~+00-10-00,787.2874318259576,0.0
chipseq-feb-1~+00-11-00,696.5864227565542,0.0
chipseq-feb-1~+00-12-00,532.1574460981442,0.0
chipseq-feb-1~+00-13-00,410.18780873178196,0.0
chipseq-feb-1~+00-14-00,351.22601074762497,0.0
chipseq-feb-1~+00-15-00,375.48295915521567,0.0
chipseq-feb-1~+00-16-00,550.7966151443096,0.0
chipseq-feb-1~+00-17-00,600.5051189747439,0.0
chipseq-feb-1~+00-18-00,795.8674796071707,0.0
chipseq-feb-1~+00-19-00,900.5667966720165,0.0
chipseq-feb-1~+00-20-00,923.0601240297563,0.0
chipseq-feb-1~+00-21-00,973.2946161706825,0.0
chipseq-feb-1~+00-22-00,862.8874361561291,0.0
chipseq-feb-1~+00-23-00,795.4773806782412,0.0
chipseq-feb-1~+01-00-00,819.1731797561988,0.0
