trace,op_ems,emb_ems
chipseq-feb-3,2661.413972966394,0.0
chipseq-feb-3~+00-01-00,2634.947421091677,0.0
chipseq-feb-3~+00-02-00,2622.7877508047427,0.0
chipseq-feb-3~+00-03-00,2692.852575731764,0.0
chipseq-feb-3~+00-04-00,2798.889876687686,0.0
chipseq-feb-3~+00-05-00,2913.172533204778,0.0
chipseq-feb-3~+00-06-00,2933.906288531097,0.0
chipseq-feb-3~+00-07-00,2984.4504017210065,0.0
chipseq-feb-3~+00-08-00,2903.507934269045,0.0
chipseq-feb-3~+00-09-00,2919.4566387851282,0.0
chipseq-feb-3~+00-10-00,2884.7212774182144,0.0
chipseq-feb-3~+00-11-00,2818.4963906149105,0.0
chipseq-feb-3~+00-12-00,2777.179992769753,0.0
chipseq-feb-3~+00-13-00,2684.1231084491533,0.0
chipseq-feb-3~+00-14-00,2711.346964078516,0.0
chipseq-feb-3~+00-15-00,2712.989890907085,0.0
chipseq-feb-3~+00-16-00,2742.0233887808986,0.0
chipseq-feb-3~+00-17-00,2738.5623713008395,0.0
chipseq-feb-3~+00-18-00,2686.819453560556,0.0
chipseq-feb-3~+00-19-00,2700.1737983757694,0.0
chipseq-feb-3~+00-20-00,2690.0044235617916,0.0
chipseq-feb-3~+00-21-00,2805.6560950223625,0.0
chipseq-feb-3~+00-22-00,2814.165957764174,0.0
chipseq-feb-3~+00-23-00,2895.822694337965,0.0
chipseq-feb-3~+01-00-00,2843.9579620485147,0.0
