trace,op_ems,emb_ems
chipseq-jun-3,2427.228945075448,0.0
chipseq-jun-3~+00-01-00,2460.690263788725,0.0
chipseq-jun-3~+00-02-00,2436.354401297567,0.0
chipseq-jun-3~+00-03-00,2442.1170110048083,0.0
chipseq-jun-3~+00-04-00,2436.0933371509436,0.0
chipseq-jun-3~+00-05-00,2458.7729474637995,0.0
chipseq-jun-3~+00-06-00,2515.9905815168436,0.0
chipseq-jun-3~+00-07-00,2566.7877166383237,0.0
chipseq-jun-3~+00-08-00,2661.974768124289,0.0
chipseq-jun-3~+00-09-00,2719.86251627176,0.0
chipseq-jun-3~+00-10-00,2709.995717351856,0.0
chipseq-jun-3~+00-11-00,2676.9495301649476,0.0
chipseq-jun-3~+00-12-00,2648.4164093972113,0.0
chipseq-jun-3~+00-13-00,2566.1519670441744,0.0
chipseq-jun-3~+00-14-00,2519.144416863372,0.0
chipseq-jun-3~+00-15-00,2500.2844990562644,0.0
chipseq-jun-3~+00-16-00,2454.6672729186885,0.0
chipseq-jun-3~+00-17-00,2463.997812608336,0.0
chipseq-jun-3~+00-18-00,2454.45789372713,0.0
chipseq-jun-3~+00-19-00,2441.8483475847015,0.0
chipseq-jun-3~+00-20-00,2450.4642662130746,0.0
chipseq-jun-3~+00-21-00,2489.7751129893772,0.0
chipseq-jun-3~+00-22-00,2505.6777625165323,0.0
chipseq-jun-3~+00-23-00,2486.079254579586,0.0
chipseq-jun-3~+01-00-00,2447.8724588864716,0.0
