trace,op_ems,emb_ems
chipseq-mar-2,2946.8880178727813,0.0
chipseq-mar-2~+00-01-00,2955.87614272027,0.0
chipseq-mar-2~+00-02-00,2944.608604623566,0.0
chipseq-mar-2~+00-03-00,2963.0084738925266,0.0
chipseq-mar-2~+00-04-00,2971.39807453461,0.0
chipseq-mar-2~+00-05-00,2994.8362382100795,0.0
chipseq-mar-2~+00-06-00,3023.0013390035942,0.0
chipseq-mar-2~+00-07-00,3020.569302236767,0.0
chipseq-mar-2~+00-08-00,3028.983300759772,0.0
chipseq-mar-2~+00-09-00,2900.2648594881775,0.0
chipseq-mar-2~+00-10-00,2891.724547581271,0.0
chipseq-mar-2~+00-11-00,2796.461457060047,0.0
chipseq-mar-2~+00-12-00,2667.102169786448,0.0
chipseq-mar-2~+00-13-00,2559.858496102289,0.0
chipseq-mar-2~+00-14-00,2409.923437636469,0.0
chipseq-mar-2~+00-15-00,2318.8501222470486,0.0
chipseq-mar-2~+00-16-00,2274.9701951234183,0.0
chipseq-mar-2~+00-17-00,2349.28299609248,0.0
chipseq-mar-2~+00-18-00,2433.394655798388,0.0
chipseq-mar-2~+00-19-00,2561.317898360194,0.0
chipseq-mar-2~+00-20-00,2674.360722516198,0.0
chipseq-mar-2~+00-21-00,2774.6205894521345,0.0
chipseq-mar-2~+00-22-00,2903.836920194579,0.0
chipseq-mar-2~+00-23-00,2985.355289126005,0.0
chipseq-mar-2~+01-00-00,2940.3107759292952,0.0
