trace,op_ems,emb_ems
chipseq-may-1,2430.689277592065,0.0
chipseq-may-1~+00-01-00,2411.5554660203834,0.0
chipseq-may-1~+00-02-00,2461.589132887755,0.0
chipseq-may-1~+00-03-00,2531.207545371967,0.0
chipseq-may-1~+00-04-00,2530.00510179711,0.0
chipseq-may-1~+00-05-00,2549.008705507573,0.0
chipseq-may-1~+00-06-00,2613.272240228182,0.0
chipseq-may-1~+00-07-00,2665.114083698934,0.0
chipseq-may-1~+00-08-00,2725.513462002267,0.0
chipseq-may-1~+00-09-00,2748.9134126939125,0.0
chipseq-may-1~+00-10-00,2705.881065396837,0.0
chipseq-may-1~+00-11-00,2688.3802343545804,0.0
chipseq-may-1~+00-12-00,2656.4081222725217,0.0
chipseq-may-1~+00-13-00,2557.1352985857957,0.0
chipseq-may-1~+00-14-00,2523.547710572243,0.0
chipseq-may-1~+00-15-00,2449.206820474068,0.0
chipseq-may-1~+00-16-00,2423.6620839217203,0.0
chipseq-may-1~+00-17-00,2396.809577481782,0.0
chipseq-may-1~+00-18-00,2409.9664987824667,0.0
chipseq-may-1~+00-19-00,2390.0396213470776,0.0
chipseq-may-1~+00-20-00,2430.3133056560846,0.0
chipseq-may-1~+00-21-00,2467.530872424754,0.0
chipseq-may-1~+00-22-00,2478.3375786480706,0.0
chipseq-may-1~+00-23-00,2442.2052961742406,0.0
chipseq-may-1~+01-00-00,2427.0622601743717,0.0
