trace,op_ems,emb_ems
chipseq-nov-3,2483.058280554479,0.0
chipseq-nov-3~+00-01-00,2427.6520686282315,0.0
chipseq-nov-3~+00-02-00,2471.5936204623804,0.0
chipseq-nov-3~+00-03-00,2692.822304041508,0.0
chipseq-nov-3~+00-04-00,2897.4182613475814,0.0
chipseq-nov-3~+00-05-00,2952.2365206720374,0.0
chipseq-nov-3~+00-06-00,2928.5603352230564,0.0
chipseq-nov-3~+00-07-00,2836.8064492523563,0.0
chipseq-nov-3~+00-08-00,2921.374435256097,0.0
chipseq-nov-3~+00-09-00,2861.926697203859,0.0
chipseq-nov-3~+00-10-00,3145.2605123407484,0.0
chipseq-nov-3~+00-11-00,3072.2046601859115,0.0
chipseq-nov-3~+00-12-00,2920.673325178418,0.0
chipseq-nov-3~+00-13-00,2927.129289144342,0.0
chipseq-nov-3~+00-14-00,2893.293402078506,0.0
chipseq-nov-3~+00-15-00,2728.7880470640775,0.0
chipseq-nov-3~+00-16-00,2786.0412935323166,0.0
chipseq-nov-3~+00-17-00,2695.5750241458086,0.0
chipseq-nov-3~+00-18-00,2555.302620774785,0.0
chipseq-nov-3~+00-19-00,2656.322281960819,0.0
chipseq-nov-3~+00-20-00,2681.4834862303337,0.0
chipseq-nov-3~+00-21-00,2769.785060598295,0.0
chipseq-nov-3~+00-22-00,2864.6871159309103,0.0
chipseq-nov-3~+00-23-00,2803.5041873343,0.0
chipseq-nov-3~+01-00-00,2679.367148636308,0.0
