trace,op_ems,emb_ems
chipseq-sep-3,421.1433854116731,0.0
chipseq-sep-3~+00-01-00,352.36289009576217,0.0
chipseq-sep-3~+00-02-00,273.0089212457398,0.0
chipseq-sep-3~+00-03-00,256.57011517136,0.0
chipseq-sep-3~+00-04-00,276.78258461895473,0.0
chipseq-sep-3~+00-05-00,342.72978334365996,0.0
chipseq-sep-3~+00-06-00,398.9437475787366,0.0
chipseq-sep-3~+00-07-00,504.4410353686135,0.0
chipseq-sep-3~+00-08-00,540.501550237057,0.0
chipseq-sep-3~+00-09-00,555.7175051273966,0.0
chipseq-sep-3~+00-10-00,509.9788623887003,0.0
chipseq-sep-3~+00-11-00,449.3530269764841,0.0
chipseq-sep-3~+00-12-00,388.3876845902141,0.0
chipseq-sep-3~+00-13-00,342.25063299856686,0.0
chipseq-sep-3~+00-14-00,355.26267453798914,0.0
chipseq-sep-3~+00-15-00,350.1632071683649,0.0
chipseq-sep-3~+00-16-00,361.4672393636886,0.0
chipseq-sep-3~+00-17-00,383.1808365709891,0.0
chipseq-sep-3~+00-18-00,412.3506609463028,0.0
chipseq-sep-3~+00-19-00,448.06848267184955,0.0
chipseq-sep-3~+00-20-00,463.00856556572137,0.0
chipseq-sep-3~+00-21-00,458.0534444466518,0.0
chipseq-sep-3~+00-22-00,426.68252374289455,0.0
chipseq-sep-3~+00-23-00,367.45995251251793,0.0
chipseq-sep-3~+01-00-00,324.4310893707248,0.0
