trace,op_ems,emb_ems
mag-aug-1,4887.928233422772,0.0
mag-aug-1~+00-01-00,4892.026725685867,0.0
mag-aug-1~+00-02-00,4965.424444995707,0.0
mag-aug-1~+00-03-00,4995.491198582847,0.0
mag-aug-1~+00-04-00,4969.370008097054,0.0
mag-aug-1~+00-05-00,4944.294971749659,0.0
mag-aug-1~+00-06-00,4926.797995148401,0.0
mag-aug-1~+00-07-00,4900.600932616068,0.0
mag-aug-1~+00-08-00,4870.173697007877,0.0
mag-aug-1~+00-09-00,4852.756715763653,0.0
mag-aug-1~+00-10-00,4866.848398988786,0.0
mag-aug-1~+00-11-00,4775.653885243476,0.0
mag-aug-1~+00-12-00,4719.876788839148,0.0
mag-aug-1~+00-13-00,4691.8698811696595,0.0
mag-aug-1~+00-14-00,4597.721736835447,0.0
mag-aug-1~+00-15-00,4559.817971168115,0.0
mag-aug-1~+00-16-00,4561.6136251174,0.0
mag-aug-1~+00-17-00,4570.90007520156,0.0
mag-aug-1~+00-18-00,4642.809372266313,0.0
mag-aug-1~+00-19-00,4615.711612422741,0.0
mag-aug-1~+00-20-00,4601.520512358263,0.0
mag-aug-1~+00-21-00,4674.668725308052,0.0
mag-aug-1~+00-22-00,4722.093993003045,0.0
mag-aug-1~+00-23-00,4760.1936485215865,0.0
mag-aug-1~+01-00-00,4825.580866913344,0.0
