trace,op_ems,emb_ems
mag-aug-1,781.865502636847,0.0
mag-aug-1~+00-01-00,828.737873148245,0.0
mag-aug-1~+00-02-00,819.2773027307517,0.0
mag-aug-1~+00-03-00,828.9617635823483,0.0
mag-aug-1~+00-04-00,815.7599696001331,0.0
mag-aug-1~+00-05-00,804.9435580866636,0.0
mag-aug-1~+00-06-00,832.5129960593474,0.0
mag-aug-1~+00-07-00,901.750335395772,0.0
mag-aug-1~+00-08-00,974.0079341307503,0.0
mag-aug-1~+00-09-00,1000.3625479558358,0.0
mag-aug-1~+00-10-00,983.8358457988838,0.0
mag-aug-1~+00-11-00,943.9841233615837,0.0
mag-aug-1~+00-12-00,867.7652578609436,0.0
mag-aug-1~+00-13-00,771.7835351659969,0.0
mag-aug-1~+00-14-00,672.6654791448077,0.0
mag-aug-1~+00-15-00,623.0753695309855,0.0
mag-aug-1~+00-16-00,623.7954716323246,0.0
mag-aug-1~+00-17-00,622.3109119922005,0.0
mag-aug-1~+00-18-00,606.2218369471443,0.0
mag-aug-1~+00-19-00,595.5086447261917,0.0
mag-aug-1~+00-20-00,591.811957701505,0.0
mag-aug-1~+00-21-00,621.5405606602202,0.0
mag-aug-1~+00-22-00,681.4653785645642,0.0
mag-aug-1~+00-23-00,749.7906983056864,0.0
mag-aug-1~+01-00-00,809.8939714304495,0.0
