trace,op_ems,emb_ems
mag-dec-1,1702.3761517378416,0.0
mag-dec-1~+00-01-00,1640.5130359789514,0.0
mag-dec-1~+00-02-00,1603.529626795653,0.0
mag-dec-1~+00-03-00,1568.7264062003,0.0
mag-dec-1~+00-04-00,1525.2902447223605,0.0
mag-dec-1~+00-05-00,1502.7704286668472,0.0
mag-dec-1~+00-06-00,1483.497466670637,0.0
mag-dec-1~+00-07-00,1444.0813006034045,0.0
mag-dec-1~+00-08-00,1418.5940664225313,0.0
mag-dec-1~+00-09-00,1366.8346009427569,0.0
mag-dec-1~+00-10-00,1400.8899564383853,0.0
mag-dec-1~+00-11-00,1503.2395407051686,0.0
mag-dec-1~+00-12-00,1538.8996621617057,0.0
mag-dec-1~+00-13-00,1534.898478643458,0.0
mag-dec-1~+00-14-00,1553.2120542041594,0.0
mag-dec-1~+00-15-00,1602.6936568599604,0.0
mag-dec-1~+00-16-00,1676.7775956170644,0.0
mag-dec-1~+00-17-00,1787.190536337576,0.0
mag-dec-1~+00-18-00,1940.4125729680409,0.0
mag-dec-1~+00-19-00,2098.0413710524235,0.0
mag-dec-1~+00-20-00,2193.430346479289,0.0
mag-dec-1~+00-21-00,2260.104164584305,0.0
mag-dec-1~+00-22-00,2295.725229291478,0.0
mag-dec-1~+00-23-00,2241.7899328285016,0.0
mag-dec-1~+01-00-00,2257.9773942296806,0.0
