trace,op_ems,emb_ems
mag-dec-1,5446.93688988814,0.0
mag-dec-1~+00-01-00,5636.410419290354,0.0
mag-dec-1~+00-02-00,5582.0641310550345,0.0
mag-dec-1~+00-03-00,5499.9768103187635,0.0
mag-dec-1~+00-04-00,5598.217552198928,0.0
mag-dec-1~+00-05-00,5708.180893593469,0.0
mag-dec-1~+00-06-00,5803.457429246013,0.0
mag-dec-1~+00-07-00,5761.66036578195,0.0
mag-dec-1~+00-08-00,5685.620675646489,0.0
mag-dec-1~+00-09-00,5605.796889669405,0.0
mag-dec-1~+00-10-00,5471.774342522518,0.0
mag-dec-1~+00-11-00,5439.112809752197,0.0
mag-dec-1~+00-12-00,5373.255987069406,0.0
mag-dec-1~+00-13-00,5250.4502332402935,0.0
mag-dec-1~+00-14-00,5242.121881679764,0.0
mag-dec-1~+00-15-00,5318.292234169302,0.0
mag-dec-1~+00-16-00,5381.479609305572,0.0
mag-dec-1~+00-17-00,5453.015286823404,0.0
mag-dec-1~+00-18-00,5388.557471070762,0.0
mag-dec-1~+00-19-00,5305.711937419357,0.0
mag-dec-1~+00-20-00,5328.238558682733,0.0
mag-dec-1~+00-21-00,5198.489133957493,0.0
mag-dec-1~+00-22-00,5202.268107047717,0.0
mag-dec-1~+00-23-00,5350.678969374589,0.0
mag-dec-1~+01-00-00,5444.836550256427,0.0
