trace,op_ems,emb_ems
mag-feb-2,1545.889242347443,0.0
mag-feb-2~+00-01-00,1485.3309530497913,0.0
mag-feb-2~+00-02-00,1462.150714384841,0.0
mag-feb-2~+00-03-00,1419.4190677487525,0.0
mag-feb-2~+00-04-00,1360.3569240110955,0.0
mag-feb-2~+00-05-00,1329.7266937027653,0.0
mag-feb-2~+00-06-00,1285.936729890142,0.0
mag-feb-2~+00-07-00,1263.9333597055386,0.0
mag-feb-2~+00-08-00,1214.4160798396395,0.0
mag-feb-2~+00-09-00,1158.517680553068,0.0
mag-feb-2~+00-10-00,1177.623497890809,0.0
mag-feb-2~+00-11-00,1201.0366482155298,0.0
mag-feb-2~+00-12-00,1220.4995598048567,0.0
mag-feb-2~+00-13-00,1235.278694311768,0.0
mag-feb-2~+00-14-00,1238.805668557388,0.0
mag-feb-2~+00-15-00,1291.6903744983267,0.0
mag-feb-2~+00-16-00,1370.7930967091374,0.0
mag-feb-2~+00-17-00,1441.459929252662,0.0
mag-feb-2~+00-18-00,1517.4220086295168,0.0
mag-feb-2~+00-19-00,1593.3855602516437,0.0
mag-feb-2~+00-20-00,1693.5842983506172,0.0
mag-feb-2~+00-21-00,1777.3620114847329,0.0
mag-feb-2~+00-22-00,1812.4903986439406,0.0
mag-feb-2~+00-23-00,1833.720597175845,0.0
mag-feb-2~+01-00-00,1850.8133987665847,0.0
