trace,op_ems,emb_ems
mag-jan-1,5584.401105431038,0.0
mag-jan-1~+00-01-00,5548.798497703998,0.0
mag-jan-1~+00-02-00,5480.925269064732,0.0
mag-jan-1~+00-03-00,5387.996006248018,0.0
mag-jan-1~+00-04-00,5347.585091419018,0.0
mag-jan-1~+00-05-00,5302.355217573006,0.0
mag-jan-1~+00-06-00,5237.786292887173,0.0
mag-jan-1~+00-07-00,5199.602547755382,0.0
mag-jan-1~+00-08-00,5179.098472266082,0.0
mag-jan-1~+00-09-00,5162.853112205196,0.0
mag-jan-1~+00-10-00,5136.8085210764875,0.0
mag-jan-1~+00-11-00,5130.1750285176595,0.0
mag-jan-1~+00-12-00,5140.845265854184,0.0
mag-jan-1~+00-13-00,5155.1459569701665,0.0
mag-jan-1~+00-14-00,5156.600343996854,0.0
mag-jan-1~+00-15-00,5179.336036153434,0.0
mag-jan-1~+00-16-00,5217.175942076872,0.0
mag-jan-1~+00-17-00,5259.1511903050605,0.0
mag-jan-1~+00-18-00,5317.5634766721505,0.0
mag-jan-1~+00-19-00,5390.928467404559,0.0
mag-jan-1~+00-20-00,5435.306716027309,0.0
mag-jan-1~+00-21-00,5485.484552108524,0.0
mag-jan-1~+00-22-00,5504.037751234329,0.0
mag-jan-1~+00-23-00,5487.5533399118785,0.0
mag-jan-1~+01-00-00,5482.286913111193,0.0
