trace,op_ems,emb_ems
mag-jun-2,545.0128414399377,0.0
mag-jun-2~+00-01-00,546.826166990469,0.0
mag-jun-2~+00-02-00,612.0760420748096,0.0
mag-jun-2~+00-03-00,641.7263666241762,0.0
mag-jun-2~+00-04-00,647.9849895531595,0.0
mag-jun-2~+00-05-00,690.0685804664827,0.0
mag-jun-2~+00-06-00,731.5954695536341,0.0
mag-jun-2~+00-07-00,762.2340639132765,0.0
mag-jun-2~+00-08-00,768.4983923951172,0.0
mag-jun-2~+00-09-00,803.6137213709519,0.0
mag-jun-2~+00-10-00,791.6839623836802,0.0
mag-jun-2~+00-11-00,750.812111164905,0.0
mag-jun-2~+00-12-00,744.9290914198897,0.0
mag-jun-2~+00-13-00,723.1315926548486,0.0
mag-jun-2~+00-14-00,720.703263006936,0.0
mag-jun-2~+00-15-00,741.9075744469734,0.0
mag-jun-2~+00-16-00,762.5525652313986,0.0
mag-jun-2~+00-17-00,751.7624973985729,0.0
mag-jun-2~+00-18-00,727.9254485808442,0.0
mag-jun-2~+00-19-00,748.8881351138547,0.0
mag-jun-2~+00-20-00,769.2088386813737,0.0
mag-jun-2~+00-21-00,831.6929863492048,0.0
mag-jun-2~+00-22-00,929.9600000156163,0.0
mag-jun-2~+00-23-00,1013.4023801532269,0.0
mag-jun-2~+01-00-00,1090.5958073550155,0.0
