trace,op_ems,emb_ems
mag-mar-2,5601.342596764935,0.0
mag-mar-2~+00-01-00,5558.836387602774,0.0
mag-mar-2~+00-02-00,5556.585237888159,0.0
mag-mar-2~+00-03-00,5470.896201782037,0.0
mag-mar-2~+00-04-00,5350.9319979455295,0.0
mag-mar-2~+00-05-00,5242.957357189497,0.0
mag-mar-2~+00-06-00,5100.573285305271,0.0
mag-mar-2~+00-07-00,4964.3047115097,0.0
mag-mar-2~+00-08-00,4915.118030017646,0.0
mag-mar-2~+00-09-00,4877.3181815180105,0.0
mag-mar-2~+00-10-00,4842.704611222864,0.0
mag-mar-2~+00-11-00,4788.61944243817,0.0
mag-mar-2~+00-12-00,4847.271262306413,0.0
mag-mar-2~+00-13-00,4832.932196379357,0.0
mag-mar-2~+00-14-00,4885.737416211152,0.0
mag-mar-2~+00-15-00,4958.240850164933,0.0
mag-mar-2~+00-16-00,5026.826430174835,0.0
mag-mar-2~+00-17-00,5073.0657169025835,0.0
mag-mar-2~+00-18-00,5202.815880877427,0.0
mag-mar-2~+00-19-00,5353.550678123457,0.0
mag-mar-2~+00-20-00,5425.099947833471,0.0
mag-mar-2~+00-21-00,5473.6242548191485,0.0
mag-mar-2~+00-22-00,5501.845528957638,0.0
mag-mar-2~+00-23-00,5514.493220787754,0.0
mag-mar-2~+01-00-00,5514.000369590465,0.0
