trace,op_ems,emb_ems
mag-nov-3,1993.9649259760656,0.0
mag-nov-3~+00-01-00,1884.0591311281567,0.0
mag-nov-3~+00-02-00,1794.2048425716469,0.0
mag-nov-3~+00-03-00,1726.7177261314046,0.0
mag-nov-3~+00-04-00,1665.8917845957358,0.0
mag-nov-3~+00-05-00,1786.7171135638832,0.0
mag-nov-3~+00-06-00,1754.7220539319187,0.0
mag-nov-3~+00-07-00,1671.559445235791,0.0
mag-nov-3~+00-08-00,1531.0880282334072,0.0
mag-nov-3~+00-09-00,1364.2923160432156,0.0
mag-nov-3~+00-10-00,1242.1490126888577,0.0
mag-nov-3~+00-11-00,1219.2016012002045,0.0
mag-nov-3~+00-12-00,1473.126136042541,0.0
mag-nov-3~+00-13-00,1580.1414657759215,0.0
mag-nov-3~+00-14-00,1587.0307054738444,0.0
mag-nov-3~+00-15-00,1695.5322721217844,0.0
mag-nov-3~+00-16-00,1743.1246097003955,0.0
mag-nov-3~+00-17-00,1745.4302999309025,0.0
mag-nov-3~+00-18-00,1816.0483598145843,0.0
mag-nov-3~+00-19-00,1978.5975123768799,0.0
mag-nov-3~+00-20-00,2152.2033412819396,0.0
mag-nov-3~+00-21-00,2308.286672329886,0.0
mag-nov-3~+00-22-00,2342.3388983009027,0.0
mag-nov-3~+00-23-00,2382.1205094080756,0.0
mag-nov-3~+01-00-00,2318.5061551774743,0.0
