trace,op_ems,emb_ems
mag-nov-3,5433.242080873478,0.0
mag-nov-3~+00-01-00,5453.264510477546,0.0
mag-nov-3~+00-02-00,5488.928879716983,0.0
mag-nov-3~+00-03-00,5484.492811104963,0.0
mag-nov-3~+00-04-00,5468.029664974409,0.0
mag-nov-3~+00-05-00,5500.749115186774,0.0
mag-nov-3~+00-06-00,5487.6759603606915,0.0
mag-nov-3~+00-07-00,5459.885366679448,0.0
mag-nov-3~+00-08-00,5413.2784213365485,0.0
mag-nov-3~+00-09-00,5346.944512704963,0.0
mag-nov-3~+00-10-00,5282.066504535584,0.0
mag-nov-3~+00-11-00,5230.330677593755,0.0
mag-nov-3~+00-12-00,5192.643885146119,0.0
mag-nov-3~+00-13-00,5150.28310962602,0.0
mag-nov-3~+00-14-00,5102.279980130552,0.0
mag-nov-3~+00-15-00,5131.010273982043,0.0
mag-nov-3~+00-16-00,5132.572781260596,0.0
mag-nov-3~+00-17-00,5112.62055875288,0.0
mag-nov-3~+00-18-00,5172.641710824393,0.0
mag-nov-3~+00-19-00,5243.806334371924,0.0
mag-nov-3~+00-20-00,5296.76611639112,0.0
mag-nov-3~+00-21-00,5367.908049509812,0.0
mag-nov-3~+00-22-00,5419.889770734855,0.0
mag-nov-3~+00-23-00,5439.024841648218,0.0
mag-nov-3~+01-00-00,5485.140591444953,0.0
