trace,op_ems,emb_ems
mag-oct-2,2366.4894322229084,0.0
mag-oct-2~+00-01-00,2368.4436877365,0.0
mag-oct-2~+00-02-00,2291.544561813953,0.0
mag-oct-2~+00-03-00,2278.8097763735145,0.0
mag-oct-2~+00-04-00,2245.8956885772877,0.0
mag-oct-2~+00-05-00,2150.043319042356,0.0
mag-oct-2~+00-06-00,2078.5549106419066,0.0
mag-oct-2~+00-07-00,1990.2656326654196,0.0
mag-oct-2~+00-08-00,1879.522083854383,0.0
mag-oct-2~+00-09-00,1789.3290336186853,0.0
mag-oct-2~+00-10-00,1668.1104344115756,0.0
mag-oct-2~+00-11-00,1552.02501113454,0.0
mag-oct-2~+00-12-00,1515.4563014822847,0.0
mag-oct-2~+00-13-00,1450.8032326786722,0.0
mag-oct-2~+00-14-00,1424.2983367921447,0.0
mag-oct-2~+00-15-00,1458.8459431399285,0.0
mag-oct-2~+00-16-00,1431.2924405580843,0.0
mag-oct-2~+00-17-00,1481.597580848982,0.0
mag-oct-2~+00-18-00,1542.1552047308073,0.0
mag-oct-2~+00-19-00,1555.8749584022985,0.0
mag-oct-2~+00-20-00,1591.2650121577817,0.0
mag-oct-2~+00-21-00,1587.16376976916,0.0
mag-oct-2~+00-22-00,1612.4013427075738,0.0
mag-oct-2~+00-23-00,1721.4683352650586,0.0
mag-oct-2~+01-00-00,1677.029194296207,0.0
