trace,op_ems,emb_ems
mag-sep-1,4849.30632088904,0.0
mag-sep-1~+00-01-00,4903.435361458001,0.0
mag-sep-1~+00-02-00,4957.999602474484,0.0
mag-sep-1~+00-03-00,4979.766599120034,0.0
mag-sep-1~+00-04-00,5011.555227627781,0.0
mag-sep-1~+00-05-00,5008.075738936288,0.0
mag-sep-1~+00-06-00,4970.074834838817,0.0
mag-sep-1~+00-07-00,4933.956972201137,0.0
mag-sep-1~+00-08-00,4946.82865307643,0.0
mag-sep-1~+00-09-00,4959.241806506936,0.0
mag-sep-1~+00-10-00,4989.881184940364,0.0
mag-sep-1~+00-11-00,5020.288758376951,0.0
mag-sep-1~+00-12-00,4989.037821618969,0.0
mag-sep-1~+00-13-00,4915.488280588657,0.0
mag-sep-1~+00-14-00,4841.328126325087,0.0
mag-sep-1~+00-15-00,4808.874657963158,0.0
mag-sep-1~+00-16-00,4856.600715834601,0.0
mag-sep-1~+00-17-00,4912.952251155653,0.0
mag-sep-1~+00-18-00,4940.914097578598,0.0
mag-sep-1~+00-19-00,4922.181742118133,0.0
mag-sep-1~+00-20-00,4875.55687929441,0.0
mag-sep-1~+00-21-00,4795.426928294039,0.0
mag-sep-1~+00-22-00,4748.177610772303,0.0
mag-sep-1~+00-23-00,4732.999266296141,0.0
mag-sep-1~+01-00-00,4724.143062774247,0.0
