trace,op_ems,emb_ems
montage-dec-3,128.7295323507134,0.0
montage-dec-3~+00-01-00,126.74743094249928,0.0
montage-dec-3~+00-02-00,140.73270217904923,0.0
montage-dec-3~+00-03-00,144.62962761473048,0.0
montage-dec-3~+00-04-00,140.97144933506058,0.0
montage-dec-3~+00-05-00,141.68947200507344,0.0
montage-dec-3~+00-06-00,132.27041016043754,0.0
montage-dec-3~+00-07-00,142.2049865397065,0.0
montage-dec-3~+00-08-00,129.42574683811216,0.0
montage-dec-3~+00-09-00,147.36713596307771,0.0
montage-dec-3~+00-10-00,145.93581298183966,0.0
montage-dec-3~+00-11-00,155.66141771462304,0.0
montage-dec-3~+00-12-00,146.51386566073253,0.0
montage-dec-3~+00-13-00,153.23629823852303,0.0
montage-dec-3~+00-14-00,146.157184642601,0.0
montage-dec-3~+00-15-00,143.83075655952317,0.0
montage-dec-3~+00-16-00,139.05409704541657,0.0
montage-dec-3~+00-17-00,145.36013010006494,0.0
montage-dec-3~+00-18-00,145.41839265711752,0.0
montage-dec-3~+00-19-00,144.07823732473102,0.0
montage-dec-3~+00-20-00,135.09948725985237,0.0
montage-dec-3~+00-21-00,135.60140178113798,0.0
montage-dec-3~+00-22-00,139.99422930303714,0.0
montage-dec-3~+00-23-00,144.88442002548504,0.0
montage-dec-3~+01-00-00,139.5099652167471,0.0
