trace,op_ems,emb_ems
montage-may-3,127.54464275858639,0.0
montage-may-3~+00-01-00,118.7165262386687,0.0
montage-may-3~+00-02-00,114.23089740620814,0.0
montage-may-3~+00-03-00,123.3593773547313,0.0
montage-may-3~+00-04-00,126.64490689468364,0.0
montage-may-3~+00-05-00,126.79677346759249,0.0
montage-may-3~+00-06-00,122.59847201717604,0.0
montage-may-3~+00-07-00,115.50030255047537,0.0
montage-may-3~+00-08-00,134.75499799862934,0.0
montage-may-3~+00-09-00,125.2936880744247,0.0
montage-may-3~+00-10-00,129.220616516482,0.0
montage-may-3~+00-11-00,122.21392699673686,0.0
montage-may-3~+00-12-00,141.66287966514864,0.0
montage-may-3~+00-13-00,125.6732578072044,0.0
montage-may-3~+00-14-00,134.99987026557605,0.0
montage-may-3~+00-15-00,135.3941314243361,0.0
montage-may-3~+00-16-00,113.91735173287469,0.0
montage-may-3~+00-17-00,117.14876737793213,0.0
montage-may-3~+00-18-00,121.8695456281249,0.0
montage-may-3~+00-19-00,124.96088375348917,0.0
montage-may-3~+00-20-00,125.49627653538577,0.0
montage-may-3~+00-21-00,122.2790538235249,0.0
montage-may-3~+00-22-00,131.2621126238786,0.0
montage-may-3~+00-23-00,120.46657022581324,0.0
montage-may-3~+01-00-00,118.93238574611232,0.0
