trace,op_ems,emb_ems
montage-oct-2,123.91605870766539,0.0
montage-oct-2~+00-01-00,124.16401024370296,0.0
montage-oct-2~+00-02-00,134.64123295623597,0.0
montage-oct-2~+00-03-00,139.9172934328699,0.0
montage-oct-2~+00-04-00,139.9120130038843,0.0
montage-oct-2~+00-05-00,140.4431414518933,0.0
montage-oct-2~+00-06-00,134.62769160772802,0.0
montage-oct-2~+00-07-00,150.4711367611663,0.0
montage-oct-2~+00-08-00,153.073228395118,0.0
montage-oct-2~+00-09-00,151.91718345678447,0.0
montage-oct-2~+00-10-00,153.13494460048543,0.0
montage-oct-2~+00-11-00,153.13003222010556,0.0
montage-oct-2~+00-12-00,149.0168992995938,0.0
montage-oct-2~+00-13-00,126.67104421956378,0.0
montage-oct-2~+00-14-00,123.97147004957321,0.0
montage-oct-2~+00-15-00,123.91605870766539,0.0
montage-oct-2~+00-16-00,138.86443202656196,0.0
montage-oct-2~+00-17-00,138.8690975565294,0.0
montage-oct-2~+00-18-00,135.46509348757087,0.0
montage-oct-2~+00-19-00,113.31903737421175,0.0
montage-oct-2~+00-20-00,113.3403388085821,0.0
montage-oct-2~+00-21-00,113.11011390943158,0.0
montage-oct-2~+00-22-00,136.2350291395646,0.0
montage-oct-2~+00-23-00,138.08490720547184,0.0
montage-oct-2~+01-00-00,118.35185795890129,0.0
