trace,op_ems,emb_ems
nanoseq-aug-3,135.47035485890245,0.0
nanoseq-aug-3~+00-01-00,132.82901221152764,0.0
nanoseq-aug-3~+00-02-00,131.4175389703216,0.0
nanoseq-aug-3~+00-03-00,137.13290310216533,0.0
nanoseq-aug-3~+00-04-00,142.26729277576266,0.0
nanoseq-aug-3~+00-05-00,142.67414759676592,0.0
nanoseq-aug-3~+00-06-00,146.7195093466628,0.0
nanoseq-aug-3~+00-07-00,146.72082371703527,0.0
nanoseq-aug-3~+00-08-00,143.1769758129663,0.0
nanoseq-aug-3~+00-09-00,144.11737939241252,0.0
nanoseq-aug-3~+00-10-00,148.14349686266132,0.0
nanoseq-aug-3~+00-11-00,146.4196487185609,0.0
nanoseq-aug-3~+00-12-00,145.67912347615584,0.0
nanoseq-aug-3~+00-13-00,143.02654376345845,0.0
nanoseq-aug-3~+00-14-00,140.9424265373564,0.0
nanoseq-aug-3~+00-15-00,137.43932323352868,0.0
nanoseq-aug-3~+00-16-00,134.97353960709532,0.0
nanoseq-aug-3~+00-17-00,134.91525092355295,0.0
nanoseq-aug-3~+00-18-00,133.34674327787445,0.0
nanoseq-aug-3~+00-19-00,132.66415967267045,0.0
nanoseq-aug-3~+00-20-00,129.4058718854987,0.0
nanoseq-aug-3~+00-21-00,130.99257195523893,0.0
nanoseq-aug-3~+00-22-00,130.89578712134067,0.0
nanoseq-aug-3~+00-23-00,129.5629627988413,0.0
nanoseq-aug-3~+01-00-00,131.1119485657516,0.0
