trace,op_ems,emb_ems
nanoseq-dec-3,41.66261402173084,0.0
nanoseq-dec-3~+00-01-00,37.783817836647586,0.0
nanoseq-dec-3~+00-02-00,39.57762827832708,0.0
nanoseq-dec-3~+00-03-00,40.1304917949023,0.0
nanoseq-dec-3~+00-04-00,43.78210930605113,0.0
nanoseq-dec-3~+00-05-00,54.611650351018305,0.0
nanoseq-dec-3~+00-06-00,58.305956618581845,0.0
nanoseq-dec-3~+00-07-00,61.17936879653652,0.0
nanoseq-dec-3~+00-08-00,62.19843030862302,0.0
nanoseq-dec-3~+00-09-00,56.67351438685958,0.0
nanoseq-dec-3~+00-10-00,48.64718131964345,0.0
nanoseq-dec-3~+00-11-00,41.80974284154131,0.0
nanoseq-dec-3~+00-12-00,36.405247180014186,0.0
nanoseq-dec-3~+00-13-00,32.46427789646355,0.0
nanoseq-dec-3~+00-14-00,31.59818037835627,0.0
nanoseq-dec-3~+00-15-00,38.08906902626981,0.0
nanoseq-dec-3~+00-16-00,46.07115766064203,0.0
nanoseq-dec-3~+00-17-00,52.09325396186482,0.0
nanoseq-dec-3~+00-18-00,61.4815169331481,0.0
nanoseq-dec-3~+00-19-00,65.50062318771094,0.0
nanoseq-dec-3~+00-20-00,62.04589873933133,0.0
nanoseq-dec-3~+00-21-00,58.044544255963245,0.0
nanoseq-dec-3~+00-22-00,54.92266183759388,0.0
nanoseq-dec-3~+00-23-00,51.23850405729951,0.0
nanoseq-dec-3~+01-00-00,48.80488158758586,0.0
