trace,op_ems,emb_ems
nanoseq-jan-3,167.00856569957912,0.0
nanoseq-jan-3~+00-01-00,169.32579921754098,0.0
nanoseq-jan-3~+00-02-00,168.89165113089052,0.0
nanoseq-jan-3~+00-03-00,161.2136979254368,0.0
nanoseq-jan-3~+00-04-00,161.1102716364402,0.0
nanoseq-jan-3~+00-05-00,166.5213127999241,0.0
nanoseq-jan-3~+00-06-00,163.4354281682236,0.0
nanoseq-jan-3~+00-07-00,160.36380790522054,0.0
nanoseq-jan-3~+00-08-00,151.59970353669462,0.0
nanoseq-jan-3~+00-09-00,149.80266308298218,0.0
nanoseq-jan-3~+00-10-00,143.40122785503843,0.0
nanoseq-jan-3~+00-11-00,148.3913533132422,0.0
nanoseq-jan-3~+00-12-00,146.94412539037398,0.0
nanoseq-jan-3~+00-13-00,145.54673895716013,0.0
nanoseq-jan-3~+00-14-00,140.7755246164059,0.0
nanoseq-jan-3~+00-15-00,143.67508023778493,0.0
nanoseq-jan-3~+00-16-00,138.1471991087244,0.0
nanoseq-jan-3~+00-17-00,138.58700554347064,0.0
nanoseq-jan-3~+00-18-00,144.56081922640573,0.0
nanoseq-jan-3~+00-19-00,146.81179046899777,0.0
nanoseq-jan-3~+00-20-00,149.5333566995257,0.0
nanoseq-jan-3~+00-21-00,160.65881226209353,0.0
nanoseq-jan-3~+00-22-00,163.99735996857828,0.0
nanoseq-jan-3~+00-23-00,159.35545564920483,0.0
nanoseq-jan-3~+01-00-00,158.43837060650745,0.0
