trace,op_ems,emb_ems
nanoseq-jul-3,132.14560935895548,0.0
nanoseq-jul-3~+00-01-00,133.16024346912394,0.0
nanoseq-jul-3~+00-02-00,136.59999174277158,0.0
nanoseq-jul-3~+00-03-00,135.5732033071165,0.0
nanoseq-jul-3~+00-04-00,137.8207632273987,0.0
nanoseq-jul-3~+00-05-00,141.08014892942649,0.0
nanoseq-jul-3~+00-06-00,143.8298466739991,0.0
nanoseq-jul-3~+00-07-00,145.15769166394057,0.0
nanoseq-jul-3~+00-08-00,151.44763194666376,0.0
nanoseq-jul-3~+00-09-00,147.9440679886789,0.0
nanoseq-jul-3~+00-10-00,149.76499878473032,0.0
nanoseq-jul-3~+00-11-00,147.14656712054773,0.0
nanoseq-jul-3~+00-12-00,144.21171208700557,0.0
nanoseq-jul-3~+00-13-00,140.40583105416675,0.0
nanoseq-jul-3~+00-14-00,136.65932160641376,0.0
nanoseq-jul-3~+00-15-00,131.2304708835147,0.0
nanoseq-jul-3~+00-16-00,132.09997528622657,0.0
nanoseq-jul-3~+00-17-00,132.39853192336068,0.0
nanoseq-jul-3~+00-18-00,133.01392425387985,0.0
nanoseq-jul-3~+00-19-00,134.8885205451662,0.0
nanoseq-jul-3~+00-20-00,133.78189765317856,0.0
nanoseq-jul-3~+00-21-00,133.2270745147869,0.0
nanoseq-jul-3~+00-22-00,133.51390103585027,0.0
nanoseq-jul-3~+00-23-00,130.0059520699936,0.0
nanoseq-jul-3~+01-00-00,131.35313792946147,0.0
