trace,op_ems,emb_ems
nanoseq-nov-2,148.23590691148505,0.0
nanoseq-nov-2~+00-01-00,150.0055164859747,0.0
nanoseq-nov-2~+00-02-00,156.0652716702852,0.0
nanoseq-nov-2~+00-03-00,158.6321863125911,0.0
nanoseq-nov-2~+00-04-00,160.68438939769027,0.0
nanoseq-nov-2~+00-05-00,165.19029538071078,0.0
nanoseq-nov-2~+00-06-00,166.72820977518808,0.0
nanoseq-nov-2~+00-07-00,167.61219105023588,0.0
nanoseq-nov-2~+00-08-00,168.4887963990363,0.0
nanoseq-nov-2~+00-09-00,167.68141365009893,0.0
nanoseq-nov-2~+00-10-00,164.17116161043515,0.0
nanoseq-nov-2~+00-11-00,159.71960339687132,0.0
nanoseq-nov-2~+00-12-00,156.6851673484991,0.0
nanoseq-nov-2~+00-13-00,154.5363217920172,0.0
nanoseq-nov-2~+00-14-00,152.17523636920617,0.0
nanoseq-nov-2~+00-15-00,152.09267600115837,0.0
nanoseq-nov-2~+00-16-00,150.20123106149293,0.0
nanoseq-nov-2~+00-17-00,147.6875648135042,0.0
nanoseq-nov-2~+00-18-00,145.88865706275806,0.0
nanoseq-nov-2~+00-19-00,145.910470371059,0.0
nanoseq-nov-2~+00-20-00,147.14982065892627,0.0
nanoseq-nov-2~+00-21-00,147.41577583407468,0.0
nanoseq-nov-2~+00-22-00,149.78887900055182,0.0
nanoseq-nov-2~+00-23-00,152.04227489335358,0.0
nanoseq-nov-2~+01-00-00,152.58543839026538,0.0
