trace,op_ems,emb_ems
rangeland-apr-1,2523.423442947228,0.0
rangeland-apr-1~+00-01-00,2476.0878169738667,0.0
rangeland-apr-1~+00-02-00,2485.2861777881626,0.0
rangeland-apr-1~+00-03-00,2562.0209803992193,0.0
rangeland-apr-1~+00-04-00,2635.0820184224876,0.0
rangeland-apr-1~+00-05-00,2669.7800317372203,0.0
rangeland-apr-1~+00-06-00,2685.1077115423745,0.0
rangeland-apr-1~+00-07-00,2739.596771496216,0.0
rangeland-apr-1~+00-08-00,2758.1466919766704,0.0
rangeland-apr-1~+00-09-00,2744.885079457824,0.0
rangeland-apr-1~+00-10-00,2626.0496404676524,0.0
rangeland-apr-1~+00-11-00,2559.42177656753,0.0
rangeland-apr-1~+00-12-00,2482.478770619143,0.0
rangeland-apr-1~+00-13-00,2428.7828609648413,0.0
rangeland-apr-1~+00-14-00,2464.671189648827,0.0
rangeland-apr-1~+00-15-00,2402.9765856343806,0.0
rangeland-apr-1~+00-16-00,2375.9573501252466,0.0
rangeland-apr-1~+00-17-00,2364.7530106404633,0.0
rangeland-apr-1~+00-18-00,2364.5281147508235,0.0
rangeland-apr-1~+00-19-00,2386.8239137091186,0.0
rangeland-apr-1~+00-20-00,2362.316304340482,0.0
rangeland-apr-1~+00-21-00,2344.3945377511955,0.0
rangeland-apr-1~+00-22-00,2333.216302528402,0.0
rangeland-apr-1~+00-23-00,2359.1806040998013,0.0
rangeland-apr-1~+01-00-00,2362.8489048605215,0.0
