trace,op_ems,emb_ems
rangeland-jan-1,2877.6365167765225,0.0
rangeland-jan-1~+00-01-00,2881.671274771301,0.0
rangeland-jan-1~+00-02-00,2893.4653056012785,0.0
rangeland-jan-1~+00-03-00,2866.94825941713,0.0
rangeland-jan-1~+00-04-00,2865.8460583273545,0.0
rangeland-jan-1~+00-05-00,2804.292389406589,0.0
rangeland-jan-1~+00-06-00,2797.944841863018,0.0
rangeland-jan-1~+00-07-00,2767.476666060992,0.0
rangeland-jan-1~+00-08-00,2780.3795826661244,0.0
rangeland-jan-1~+00-09-00,2694.2043524514015,0.0
rangeland-jan-1~+00-10-00,2661.181444011434,0.0
rangeland-jan-1~+00-11-00,2578.466173068457,0.0
rangeland-jan-1~+00-12-00,2576.57362608822,0.0
rangeland-jan-1~+00-13-00,2606.9595860341437,0.0
rangeland-jan-1~+00-14-00,2568.9374355962404,0.0
rangeland-jan-1~+00-15-00,2527.7765709998753,0.0
rangeland-jan-1~+00-16-00,2560.1607345817447,0.0
rangeland-jan-1~+00-17-00,2603.292889805078,0.0
rangeland-jan-1~+00-18-00,2653.2056217634586,0.0
rangeland-jan-1~+00-19-00,2656.9849850420237,0.0
rangeland-jan-1~+00-20-00,2675.5527746841026,0.0
rangeland-jan-1~+00-21-00,2696.7078894526717,0.0
rangeland-jan-1~+00-22-00,2749.4256413958265,0.0
rangeland-jan-1~+00-23-00,2766.573499038009,0.0
rangeland-jan-1~+01-00-00,2758.504570025253,0.0
