trace,op_ems,emb_ems
rangeland-jun-3,2350.848813241575,0.0
rangeland-jun-3~+00-01-00,2354.169652315328,0.0
rangeland-jun-3~+00-02-00,2364.787394721212,0.0
rangeland-jun-3~+00-03-00,2405.49032265797,0.0
rangeland-jun-3~+00-04-00,2443.9974926708696,0.0
rangeland-jun-3~+00-05-00,2486.0433255177777,0.0
rangeland-jun-3~+00-06-00,2531.476849477994,0.0
rangeland-jun-3~+00-07-00,2568.1372717905097,0.0
rangeland-jun-3~+00-08-00,2595.6459722667023,0.0
rangeland-jun-3~+00-09-00,2610.078563584962,0.0
rangeland-jun-3~+00-10-00,2572.264460900287,0.0
rangeland-jun-3~+00-11-00,2533.1698919847054,0.0
rangeland-jun-3~+00-12-00,2496.2152593313685,0.0
rangeland-jun-3~+00-13-00,2464.4108855356494,0.0
rangeland-jun-3~+00-14-00,2431.060310674105,0.0
rangeland-jun-3~+00-15-00,2399.268664287584,0.0
rangeland-jun-3~+00-16-00,2379.563257616618,0.0
rangeland-jun-3~+00-17-00,2382.786388100435,0.0
rangeland-jun-3~+00-18-00,2394.85277552374,0.0
rangeland-jun-3~+00-19-00,2388.113034685066,0.0
rangeland-jun-3~+00-20-00,2382.7895604314335,0.0
rangeland-jun-3~+00-21-00,2382.242464848541,0.0
rangeland-jun-3~+00-22-00,2380.0615349312293,0.0
rangeland-jun-3~+00-23-00,2390.387241232093,0.0
rangeland-jun-3~+01-00-00,2393.7432884082473,0.0
