trace,op_ems,emb_ems
rangeland-mar-3,2922.0519105984445,0.0
rangeland-mar-3~+00-01-00,2917.0928920957217,0.0
rangeland-mar-3~+00-02-00,2910.74580488401,0.0
rangeland-mar-3~+00-03-00,2924.741599150875,0.0
rangeland-mar-3~+00-04-00,2926.9640573030474,0.0
rangeland-mar-3~+00-05-00,2931.829929263221,0.0
rangeland-mar-3~+00-06-00,2915.373427897397,0.0
rangeland-mar-3~+00-07-00,2893.1285669117465,0.0
rangeland-mar-3~+00-08-00,2822.6265337778486,0.0
rangeland-mar-3~+00-09-00,2710.7565581473973,0.0
rangeland-mar-3~+00-10-00,2608.9828847018507,0.0
rangeland-mar-3~+00-11-00,2492.3793839882737,0.0
rangeland-mar-3~+00-12-00,2413.053916190551,0.0
rangeland-mar-3~+00-13-00,2343.7899282210647,0.0
rangeland-mar-3~+00-14-00,2315.198980131938,0.0
rangeland-mar-3~+00-15-00,2327.6773339499678,0.0
rangeland-mar-3~+00-16-00,2369.8409173815153,0.0
rangeland-mar-3~+00-17-00,2449.7081469681384,0.0
rangeland-mar-3~+00-18-00,2563.8918214435676,0.0
rangeland-mar-3~+00-19-00,2649.9676121998205,0.0
rangeland-mar-3~+00-20-00,2723.2840082956745,0.0
rangeland-mar-3~+00-21-00,2758.722479667959,0.0
rangeland-mar-3~+00-22-00,2786.4647246789177,0.0
rangeland-mar-3~+00-23-00,2836.5092887223454,0.0
rangeland-mar-3~+01-00-00,2872.231373326323,0.0
