trace,op_ems,emb_ems
rnaseq-aug-3,1826.332951074207,0.0
rnaseq-aug-3~+00-01-00,1748.7968423461075,0.0
rnaseq-aug-3~+00-02-00,1652.2317144513468,0.0
rnaseq-aug-3~+00-03-00,1581.8500664483909,0.0
rnaseq-aug-3~+00-04-00,1580.9431046961702,0.0
rnaseq-aug-3~+00-05-00,1673.1917429071354,0.0
rnaseq-aug-3~+00-06-00,1903.2402015725431,0.0
rnaseq-aug-3~+00-07-00,1914.1112844014883,0.0
rnaseq-aug-3~+00-08-00,1791.7056885555123,0.0
rnaseq-aug-3~+00-09-00,1761.665693114668,0.0
rnaseq-aug-3~+00-10-00,1805.8902978053716,0.0
rnaseq-aug-3~+00-11-00,1784.9333354720618,0.0
rnaseq-aug-3~+00-12-00,1812.419214303675,0.0
rnaseq-aug-3~+00-13-00,1871.032678202781,0.0
rnaseq-aug-3~+00-14-00,1852.139968666831,0.0
rnaseq-aug-3~+00-15-00,1745.9745812499987,0.0
rnaseq-aug-3~+00-16-00,1709.2646670253775,0.0
rnaseq-aug-3~+00-17-00,1764.6100210436537,0.0
rnaseq-aug-3~+00-18-00,1827.4052024845564,0.0
rnaseq-aug-3~+00-19-00,1673.0604597209426,0.0
rnaseq-aug-3~+00-20-00,1586.5978730907773,0.0
rnaseq-aug-3~+00-21-00,1597.1059806777357,0.0
rnaseq-aug-3~+00-22-00,1667.6151749127735,0.0
rnaseq-aug-3~+00-23-00,1554.1901948818086,0.0
rnaseq-aug-3~+01-00-00,1588.1782687439968,0.0
