trace,op_ems,emb_ems
rnaseq-feb-1,637.3827914954858,0.0
rnaseq-feb-1~+00-01-00,478.22494927381643,0.0
rnaseq-feb-1~+00-02-00,462.74403828822483,0.0
rnaseq-feb-1~+00-03-00,475.4023385525346,0.0
rnaseq-feb-1~+00-04-00,468.4670594748323,0.0
rnaseq-feb-1~+00-05-00,511.5829643297784,0.0
rnaseq-feb-1~+00-06-00,609.3646817138485,0.0
rnaseq-feb-1~+00-07-00,658.0811602376166,0.0
rnaseq-feb-1~+00-08-00,658.516142874159,0.0
rnaseq-feb-1~+00-09-00,599.8443651015461,0.0
rnaseq-feb-1~+00-10-00,562.4355526820971,0.0
rnaseq-feb-1~+00-11-00,518.9331022349459,0.0
rnaseq-feb-1~+00-12-00,428.39374591731746,0.0
rnaseq-feb-1~+00-13-00,307.311659539649,0.0
rnaseq-feb-1~+00-14-00,236.707799595739,0.0
rnaseq-feb-1~+00-15-00,240.62398979140332,0.0
rnaseq-feb-1~+00-16-00,303.64740031498997,0.0
rnaseq-feb-1~+00-17-00,339.4350722737531,0.0
rnaseq-feb-1~+00-18-00,410.44523307989107,0.0
rnaseq-feb-1~+00-19-00,473.670346214206,0.0
rnaseq-feb-1~+00-20-00,608.0216310957667,0.0
rnaseq-feb-1~+00-21-00,677.9013553373725,0.0
rnaseq-feb-1~+00-22-00,621.4787301792494,0.0
rnaseq-feb-1~+00-23-00,557.1389193172604,0.0
rnaseq-feb-1~+01-00-00,544.0100004983686,0.0
