trace,op_ems,emb_ems
rnaseq-jan-1,1892.433765772976,0.0
rnaseq-jan-1~+00-01-00,2173.397080501178,0.0
rnaseq-jan-1~+00-02-00,2210.152540592857,0.0
rnaseq-jan-1~+00-03-00,2062.349203824944,0.0
rnaseq-jan-1~+00-04-00,1972.576829913231,0.0
rnaseq-jan-1~+00-05-00,1957.8279628949917,0.0
rnaseq-jan-1~+00-06-00,2088.2943663493347,0.0
rnaseq-jan-1~+00-07-00,2076.2889996860804,0.0
rnaseq-jan-1~+00-08-00,2081.6842012883994,0.0
rnaseq-jan-1~+00-09-00,1896.0169487422659,0.0
rnaseq-jan-1~+00-10-00,1795.207549847044,0.0
rnaseq-jan-1~+00-11-00,1777.606682787765,0.0
rnaseq-jan-1~+00-12-00,1930.1946940528703,0.0
rnaseq-jan-1~+00-13-00,1877.413114118799,0.0
rnaseq-jan-1~+00-14-00,1816.900623086213,0.0
rnaseq-jan-1~+00-15-00,1757.2347895265834,0.0
rnaseq-jan-1~+00-16-00,1725.984776802944,0.0
rnaseq-jan-1~+00-17-00,1794.6733386156588,0.0
rnaseq-jan-1~+00-18-00,1789.3497695542537,0.0
rnaseq-jan-1~+00-19-00,1665.78431021089,0.0
rnaseq-jan-1~+00-20-00,1658.1267135107287,0.0
rnaseq-jan-1~+00-21-00,1851.9810575062345,0.0
rnaseq-jan-1~+00-22-00,2029.1578438168567,0.0
rnaseq-jan-1~+00-23-00,2035.2741104858112,0.0
rnaseq-jan-1~+01-00-00,2024.980960020511,0.0
