trace,op_ems,emb_ems
rnaseq-jun-2,1633.0741601478244,0.0
rnaseq-jun-2~+00-01-00,1676.0144839490156,0.0
rnaseq-jun-2~+00-02-00,1708.1202229133357,0.0
rnaseq-jun-2~+00-03-00,1709.084040244024,0.0
rnaseq-jun-2~+00-04-00,1711.1713035680366,0.0
rnaseq-jun-2~+00-05-00,1708.6002693771206,0.0
rnaseq-jun-2~+00-06-00,1687.4790314035977,0.0
rnaseq-jun-2~+00-07-00,1724.7204860289376,0.0
rnaseq-jun-2~+00-08-00,1788.997684902753,0.0
rnaseq-jun-2~+00-09-00,1839.9749157786769,0.0
rnaseq-jun-2~+00-10-00,1865.575862697628,0.0
rnaseq-jun-2~+00-11-00,1821.8308973920014,0.0
rnaseq-jun-2~+00-12-00,1787.7317402880958,0.0
rnaseq-jun-2~+00-13-00,1787.867650991269,0.0
rnaseq-jun-2~+00-14-00,1770.9412173921637,0.0
rnaseq-jun-2~+00-15-00,1700.4010553458284,0.0
rnaseq-jun-2~+00-16-00,1719.0837948911567,0.0
rnaseq-jun-2~+00-17-00,1768.7290758009276,0.0
rnaseq-jun-2~+00-18-00,1747.1550427205912,0.0
rnaseq-jun-2~+00-19-00,1682.2054198270616,0.0
rnaseq-jun-2~+00-20-00,1679.5527696631555,0.0
rnaseq-jun-2~+00-21-00,1738.283799687315,0.0
rnaseq-jun-2~+00-22-00,1819.4831142984422,0.0
rnaseq-jun-2~+00-23-00,1825.886792713257,0.0
rnaseq-jun-2~+01-00-00,1752.030933143415,0.0
