trace,op_ems,emb_ems
sarek-dec-2,1081.552314270069,0.0
sarek-dec-2~+00-01-00,1035.6757286177285,0.0
sarek-dec-2~+00-02-00,1104.192487369597,0.0
sarek-dec-2~+00-03-00,1140.3318702669515,0.0
sarek-dec-2~+00-04-00,1197.6880335247624,0.0
sarek-dec-2~+00-05-00,1265.850915686508,0.0
sarek-dec-2~+00-06-00,1313.363399076386,0.0
sarek-dec-2~+00-07-00,1277.5819716714745,0.0
sarek-dec-2~+00-08-00,1263.933919077287,0.0
sarek-dec-2~+00-09-00,1186.907016891385,0.0
sarek-dec-2~+00-10-00,1050.3060359407796,0.0
sarek-dec-2~+00-11-00,927.7726902373913,0.0
sarek-dec-2~+00-12-00,820.4584359485573,0.0
sarek-dec-2~+00-13-00,734.3331093231509,0.0
sarek-dec-2~+00-14-00,683.6674403848099,0.0
sarek-dec-2~+00-15-00,696.3945655675876,0.0
sarek-dec-2~+00-16-00,744.125164553712,0.0
sarek-dec-2~+00-17-00,856.6367758992949,0.0
sarek-dec-2~+00-18-00,1035.8909834954209,0.0
sarek-dec-2~+00-19-00,1229.0339044715531,0.0
sarek-dec-2~+00-20-00,1405.9964826811624,0.0
sarek-dec-2~+00-21-00,1485.0618807370797,0.0
sarek-dec-2~+00-22-00,1499.3194130979614,0.0
sarek-dec-2~+00-23-00,1449.3572729063658,0.0
sarek-dec-2~+01-00-00,1409.2104481322792,0.0
