trace,op_ems,emb_ems
sarek-feb-3,3531.346440977569,0.0
sarek-feb-3~+00-01-00,3503.532463853857,0.0
sarek-feb-3~+00-02-00,3582.7711259055814,0.0
sarek-feb-3~+00-03-00,3675.243511679002,0.0
sarek-feb-3~+00-04-00,3761.194032236269,0.0
sarek-feb-3~+00-05-00,3872.274503725069,0.0
sarek-feb-3~+00-06-00,3941.932402271024,0.0
sarek-feb-3~+00-07-00,3910.6920904516264,0.0
sarek-feb-3~+00-08-00,3871.4664237499783,0.0
sarek-feb-3~+00-09-00,3786.247188184022,0.0
sarek-feb-3~+00-10-00,3705.5111998036346,0.0
sarek-feb-3~+00-11-00,3605.5163213835585,0.0
sarek-feb-3~+00-12-00,3562.2033992578154,0.0
sarek-feb-3~+00-13-00,3505.816578596685,0.0
sarek-feb-3~+00-14-00,3487.573069107616,0.0
sarek-feb-3~+00-15-00,3488.9650850344183,0.0
sarek-feb-3~+00-16-00,3502.1097182834847,0.0
sarek-feb-3~+00-17-00,3527.7550269118415,0.0
sarek-feb-3~+00-18-00,3534.046328985201,0.0
sarek-feb-3~+00-19-00,3589.9330171468873,0.0
sarek-feb-3~+00-20-00,3656.943641304094,0.0
sarek-feb-3~+00-21-00,3698.5040082214073,0.0
sarek-feb-3~+00-22-00,3731.0696915852823,0.0
sarek-feb-3~+00-23-00,3746.9751652044824,0.0
sarek-feb-3~+01-00-00,3723.281779485391,0.0
