trace,op_ems,emb_ems
sarek-jul-3,1126.503358955427,0.0
sarek-jul-3~+00-01-00,1136.0855105933954,0.0
sarek-jul-3~+00-02-00,1139.6429680691895,0.0
sarek-jul-3~+00-03-00,1224.889540065078,0.0
sarek-jul-3~+00-04-00,1163.8843133388386,0.0
sarek-jul-3~+00-05-00,1257.233068832943,0.0
sarek-jul-3~+00-06-00,1341.8809138193797,0.0
sarek-jul-3~+00-07-00,1457.1194379913147,0.0
sarek-jul-3~+00-08-00,1499.94754013362,0.0
sarek-jul-3~+00-09-00,1579.5961318468526,0.0
sarek-jul-3~+00-10-00,1466.5522764239463,0.0
sarek-jul-3~+00-11-00,1369.7460666047323,0.0
sarek-jul-3~+00-12-00,1163.130720991588,0.0
sarek-jul-3~+00-13-00,904.6827955701704,0.0
sarek-jul-3~+00-14-00,672.3960882419098,0.0
sarek-jul-3~+00-15-00,508.53297893468505,0.0
sarek-jul-3~+00-16-00,419.0350825744423,0.0
sarek-jul-3~+00-17-00,407.3541292020532,0.0
sarek-jul-3~+00-18-00,510.1633856913495,0.0
sarek-jul-3~+00-19-00,505.2601046662774,0.0
sarek-jul-3~+00-20-00,596.0468513051137,0.0
sarek-jul-3~+00-21-00,593.4218944645359,0.0
sarek-jul-3~+00-22-00,620.2092284413447,0.0
sarek-jul-3~+00-23-00,581.279290764227,0.0
sarek-jul-3~+01-00-00,636.6315819290365,0.0
