trace,op_ems,emb_ems
sarek-jul-3,3200.398427663491,0.0
sarek-jul-3~+00-01-00,3206.338132861736,0.0
sarek-jul-3~+00-02-00,3218.8236872657744,0.0
sarek-jul-3~+00-03-00,3266.877636145501,0.0
sarek-jul-3~+00-04-00,3320.439303549051,0.0
sarek-jul-3~+00-05-00,3391.058349554096,0.0
sarek-jul-3~+00-06-00,3399.9135468465583,0.0
sarek-jul-3~+00-07-00,3515.141554566299,0.0
sarek-jul-3~+00-08-00,3562.163019428868,0.0
sarek-jul-3~+00-09-00,3565.814729360516,0.0
sarek-jul-3~+00-10-00,3538.0061547037485,0.0
sarek-jul-3~+00-11-00,3504.94108835915,0.0
sarek-jul-3~+00-12-00,3436.1386446436504,0.0
sarek-jul-3~+00-13-00,3391.425037934273,0.0
sarek-jul-3~+00-14-00,3335.7671522161468,0.0
sarek-jul-3~+00-15-00,3259.9730011321353,0.0
sarek-jul-3~+00-16-00,3243.7802054857584,0.0
sarek-jul-3~+00-17-00,3220.367283089795,0.0
sarek-jul-3~+00-18-00,3259.3103945073126,0.0
sarek-jul-3~+00-19-00,3241.0759435712653,0.0
sarek-jul-3~+00-20-00,3259.4764000500027,0.0
sarek-jul-3~+00-21-00,3257.4165496780597,0.0
sarek-jul-3~+00-22-00,3246.892754772337,0.0
sarek-jul-3~+00-23-00,3206.237127292682,0.0
sarek-jul-3~+01-00-00,3207.4802705869974,0.0
