trace,op_ems,emb_ems
sarek-jun-1,330.6821670068507,0.0
sarek-jun-1~+00-01-00,265.4148851744738,0.0
sarek-jun-1~+00-02-00,230.24383278449866,0.0
sarek-jun-1~+00-03-00,231.3720312152027,0.0
sarek-jun-1~+00-04-00,219.16418396100167,0.0
sarek-jun-1~+00-05-00,246.2425996925329,0.0
sarek-jun-1~+00-06-00,330.5501191366843,0.0
sarek-jun-1~+00-07-00,423.18124146449543,0.0
sarek-jun-1~+00-08-00,506.6739594574409,0.0
sarek-jun-1~+00-09-00,624.9535043543591,0.0
sarek-jun-1~+00-10-00,686.322114481496,0.0
sarek-jun-1~+00-11-00,670.9674168691197,0.0
sarek-jun-1~+00-12-00,650.486581530736,0.0
sarek-jun-1~+00-13-00,623.5495990876882,0.0
sarek-jun-1~+00-14-00,566.2581183723578,0.0
sarek-jun-1~+00-15-00,528.0039076502866,0.0
sarek-jun-1~+00-16-00,541.518560419594,0.0
sarek-jun-1~+00-17-00,522.8509833166248,0.0
sarek-jun-1~+00-18-00,517.2217216238655,0.0
sarek-jun-1~+00-19-00,540.1385273011232,0.0
sarek-jun-1~+00-20-00,565.6661027644461,0.0
sarek-jun-1~+00-21-00,552.2882241016583,0.0
sarek-jun-1~+00-22-00,559.3905057288837,0.0
sarek-jun-1~+00-23-00,570.5569899305699,0.0
sarek-jun-1~+01-00-00,555.3146221768887,0.0
