trace,op_ems,emb_ems
sarek-oct-2,3317.2175085330136,0.0
sarek-oct-2~+00-01-00,3408.27637954513,0.0
sarek-oct-2~+00-02-00,3555.223071112089,0.0
sarek-oct-2~+00-03-00,3593.7676497889943,0.0
sarek-oct-2~+00-04-00,3626.600999012438,0.0
sarek-oct-2~+00-05-00,3663.2047326534357,0.0
sarek-oct-2~+00-06-00,3655.667346329306,0.0
sarek-oct-2~+00-07-00,3600.0295768923825,0.0
sarek-oct-2~+00-08-00,3685.2066945205897,0.0
sarek-oct-2~+00-09-00,3673.5276872801396,0.0
sarek-oct-2~+00-10-00,3617.5444371294475,0.0
sarek-oct-2~+00-11-00,3712.916272643837,0.0
sarek-oct-2~+00-12-00,3569.7662250851813,0.0
sarek-oct-2~+00-13-00,3377.0450736923754,0.0
sarek-oct-2~+00-14-00,3233.638253088072,0.0
sarek-oct-2~+00-15-00,3152.374503530805,0.0
sarek-oct-2~+00-16-00,3106.216058143785,0.0
sarek-oct-2~+00-17-00,3179.3959494292794,0.0
sarek-oct-2~+00-18-00,3190.0938890340476,0.0
sarek-oct-2~+00-19-00,3167.4287916737653,0.0
sarek-oct-2~+00-20-00,3113.5256816552555,0.0
sarek-oct-2~+00-21-00,3075.8679966051527,0.0
sarek-oct-2~+00-22-00,3121.1999877914714,0.0
sarek-oct-2~+00-23-00,3199.995284827686,0.0
sarek-oct-2~+01-00-00,3306.4511624283664,0.0
