trace,op_ems,emb_ems
sarek-sep-2,508.5126874186103,0.0
sarek-sep-2~+00-01-00,417.132723500505,0.0
sarek-sep-2~+00-02-00,326.6075652326486,0.0
sarek-sep-2~+00-03-00,321.0479124587587,0.0
sarek-sep-2~+00-04-00,378.5457525564199,0.0
sarek-sep-2~+00-05-00,458.71496781551195,0.0
sarek-sep-2~+00-06-00,549.7646079181363,0.0
sarek-sep-2~+00-07-00,671.2454183346932,0.0
sarek-sep-2~+00-08-00,704.5341273191975,0.0
sarek-sep-2~+00-09-00,679.230874758631,0.0
sarek-sep-2~+00-10-00,610.078056803242,0.0
sarek-sep-2~+00-11-00,547.5345141069337,0.0
sarek-sep-2~+00-12-00,476.2191898933874,0.0
sarek-sep-2~+00-13-00,446.473728055382,0.0
sarek-sep-2~+00-14-00,461.9663403604007,0.0
sarek-sep-2~+00-15-00,457.27638521918243,0.0
sarek-sep-2~+00-16-00,474.8912633002561,0.0
sarek-sep-2~+00-17-00,518.3209489944576,0.0
sarek-sep-2~+00-18-00,540.4357635698906,0.0
sarek-sep-2~+00-19-00,557.1118973861202,0.0
sarek-sep-2~+00-20-00,578.5283794576729,0.0
sarek-sep-2~+00-21-00,549.3198203057126,0.0
sarek-sep-2~+00-22-00,487.2341484393056,0.0
sarek-sep-2~+00-23-00,435.90860342186204,0.0
sarek-sep-2~+01-00-00,389.81397313609705,0.0
