trace,op_ems,emb_ems
chipseq-apr-3,648.1238906080632,0.0
chipseq-apr-3~+00-01-00,644.0418412982629,0.0
chipseq-apr-3~+00-02-00,596.8414084865101,0.0
chipseq-apr-3~+00-03-00,619.5130860036104,0.0
chipseq-apr-3~+00-04-00,586.3953574562181,0.0
chipseq-apr-3~+00-05-00,624.6308422402583,0.0
chipseq-apr-3~+00-06-00,709.3269214373834,0.0
chipseq-apr-3~+00-07-00,877.8110253556765,0.0
chipseq-apr-3~+00-08-00,928.8501299066709,0.0
chipseq-apr-3~+00-09-00,1000.8443620187304,0.0
chipseq-apr-3~+00-10-00,929.8284172842607,0.0
chipseq-apr-3~+00-11-00,791.936744328938,0.0
chipseq-apr-3~+00-12-00,624.1567883939165,0.0
chipseq-apr-3~+00-13-00,496.74586043775986,0.0
chipseq-apr-3~+00-14-00,323.79290951746987,0.0
chipseq-apr-3~+00-15-00,303.7927117213877,0.0
chipseq-apr-3~+00-16-00,250.45243173042894,0.0
chipseq-apr-3~+00-17-00,246.22433492441772,0.0
chipseq-apr-3~+00-18-00,323.20066653265656,0.0
chipseq-apr-3~+00-19-00,339.16310160479077,0.0
chipseq-apr-3~+00-20-00,345.47711207146574,0.0
chipseq-apr-3~+00-21-00,300.8479816262362,0.0
chipseq-apr-3~+00-22-00,296.97330041557495,0.0
chipseq-apr-3~+00-23-00,247.7076455357801,0.0
chipseq-apr-3~+01-00-00,244.93212175624978,0.0
chipseq-apr-3~+01-01-00,183.9553005172936,0.0
chipseq-apr-3~+01-02-00,146.25291018978334,0.0
chipseq-apr-3~+01-03-00,72.76071848676895,0.0
chipseq-apr-3~+01-04-00,91.14154130085828,0.0
chipseq-apr-3~+01-05-00,82.12450820454137,0.0
chipseq-apr-3~+01-06-00,71.48710784666707,0.0
chipseq-apr-3~+01-07-00,166.63506392569806,0.0
chipseq-apr-3~+01-08-00,165.08156732560144,0.0
chipseq-apr-3~+01-09-00,219.65981946558117,0.0
chipseq-apr-3~+01-10-00,244.88746871747654,0.0
chipseq-apr-3~+01-11-00,242.8331590830913,0.0
chipseq-apr-3~+01-12-00,269.03412850422103,0.0
chipseq-apr-3~+01-13-00,287.44345991068326,0.0
chipseq-apr-3~+01-14-00,290.98752606574897,0.0
chipseq-apr-3~+01-15-00,327.8304654906709,0.0
chipseq-apr-3~+01-16-00,305.46543307999343,0.0
chipseq-apr-3~+01-17-00,349.98040567478654,0.0
chipseq-apr-3~+01-18-00,434.6390321023772,0.0
chipseq-apr-3~+01-19-00,519.0151407251134,0.0
chipseq-apr-3~+01-20-00,599.272271641307,0.0
chipseq-apr-3~+01-21-00,630.8500134682338,0.0
chipseq-apr-3~+01-22-00,511.5843076231886,0.0
chipseq-apr-3~+01-23-00,394.403511451322,0.0
chipseq-apr-3~+02-00-00,284.924092830332,0.0
chipseq-apr-3~+02-01-00,173.5364410540717,0.0
chipseq-apr-3~+02-02-00,128.17852706991505,0.0
chipseq-apr-3~+02-03-00,111.96973999376766,0.0
chipseq-apr-3~+02-04-00,122.5176128805578,0.0
chipseq-apr-3~+02-05-00,154.9073810450173,0.0
chipseq-apr-3~+02-06-00,198.55926276381467,0.0
chipseq-apr-3~+02-07-00,247.19183114216548,0.0
chipseq-apr-3~+02-08-00,283.8991967345271,0.0
chipseq-apr-3~+02-09-00,288.133276219847,0.0
chipseq-apr-3~+02-10-00,301.8781541123764,0.0
chipseq-apr-3~+02-11-00,272.8738352956708,0.0
chipseq-apr-3~+02-12-00,230.6583991144502,0.0
chipseq-apr-3~+02-13-00,237.93448656566932,0.0
chipseq-apr-3~+02-14-00,215.39802944282962,0.0
chipseq-apr-3~+02-15-00,246.59558070193262,0.0
chipseq-apr-3~+02-16-00,312.1014612993806,0.0
chipseq-apr-3~+02-17-00,320.21767221202333,0.0
chipseq-apr-3~+02-18-00,349.48874298044996,0.0
chipseq-apr-3~+02-19-00,312.8004555669677,0.0
chipseq-apr-3~+02-20-00,349.18488121215273,0.0
chipseq-apr-3~+02-21-00,337.08675838404633,0.0
chipseq-apr-3~+02-22-00,351.9786692654544,0.0
chipseq-apr-3~+02-23-00,352.6398141719211,0.0
chipseq-apr-3~+03-00-00,337.8162701719518,0.0
chipseq-apr-3~+03-01-00,350.33542379412995,0.0
chipseq-apr-3~+03-02-00,311.41621345288047,0.0
chipseq-apr-3~+03-03-00,298.2705411844462,0.0
chipseq-apr-3~+03-04-00,297.6155612176815,0.0
chipseq-apr-3~+03-05-00,296.1456032351971,0.0
chipseq-apr-3~+03-06-00,417.97957042752057,0.0
chipseq-apr-3~+03-07-00,481.5693945307921,0.0
chipseq-apr-3~+03-08-00,591.8452252882637,0.0
chipseq-apr-3~+03-09-00,559.6623523411552,0.0
chipseq-apr-3~+03-10-00,524.8611274502983,0.0
chipseq-apr-3~+03-11-00,401.33444010483265,0.0
chipseq-apr-3~+03-12-00,318.1454234099699,0.0
chipseq-apr-3~+03-13-00,275.78251054171824,0.0
chipseq-apr-3~+03-14-00,260.83413766958245,0.0
chipseq-apr-3~+03-15-00,280.0939025645249,0.0
chipseq-apr-3~+03-16-00,324.42991587457414,0.0
chipseq-apr-3~+03-17-00,309.68705972306054,0.0
chipseq-apr-3~+03-18-00,350.0229186537482,0.0
chipseq-apr-3~+03-19-00,299.6425859876072,0.0
chipseq-apr-3~+03-20-00,305.0784566030888,0.0
chipseq-apr-3~+03-21-00,279.02029292455205,0.0
chipseq-apr-3~+03-22-00,296.74360307491395,0.0
chipseq-apr-3~+03-23-00,295.75847447174897,0.0
chipseq-apr-3~+04-00-00,233.3415229263926,0.0
