trace,op_ems,emb_ems
chipseq-aug-2,2535.9623823970837,0.0
chipseq-aug-2~+00-01-00,2524.1898775052377,0.0
chipseq-aug-2~+00-02-00,2465.4358457682756,0.0
chipseq-aug-2~+00-03-00,2477.8270099009087,0.0
chipseq-aug-2~+00-04-00,2534.0954945282865,0.0
chipseq-aug-2~+00-05-00,2600.8879373143905,0.0
chipseq-aug-2~+00-06-00,2696.309426906722,0.0
chipseq-aug-2~+00-07-00,2619.5284758054304,0.0
chipseq-aug-2~+00-08-00,2613.8326831296627,0.0
chipseq-aug-2~+00-09-00,2557.895300788565,0.0
chipseq-aug-2~+00-10-00,2653.464624840419,0.0
chipseq-aug-2~+00-11-00,2738.5075836746337,0.0
chipseq-aug-2~+00-12-00,2738.648210848425,0.0
chipseq-aug-2~+00-13-00,2705.4628256149535,0.0
chipseq-aug-2~+00-14-00,2490.534468792167,0.0
chipseq-aug-2~+00-15-00,2483.7069297362077,0.0
chipseq-aug-2~+00-16-00,2408.2011369433058,0.0
chipseq-aug-2~+00-17-00,2427.897998649971,0.0
chipseq-aug-2~+00-18-00,2458.4737886544676,0.0
chipseq-aug-2~+00-19-00,2448.6017333819236,0.0
chipseq-aug-2~+00-20-00,2378.3661317952183,0.0
chipseq-aug-2~+00-21-00,2341.8103234957744,0.0
chipseq-aug-2~+00-22-00,2353.59808626163,0.0
chipseq-aug-2~+00-23-00,2250.639864441803,0.0
chipseq-aug-2~+01-00-00,2377.901231117876,0.0
chipseq-aug-2~+01-01-00,2317.2987561396717,0.0
chipseq-aug-2~+01-02-00,2412.7475552904807,0.0
chipseq-aug-2~+01-03-00,2548.443311756141,0.0
chipseq-aug-2~+01-04-00,2480.8543878575183,0.0
chipseq-aug-2~+01-05-00,2483.230996689764,0.0
chipseq-aug-2~+01-06-00,2567.240526824431,0.0
chipseq-aug-2~+01-07-00,2626.190878150193,0.0
chipseq-aug-2~+01-08-00,2715.661373491306,0.0
chipseq-aug-2~+01-09-00,2703.1835114691153,0.0
chipseq-aug-2~+01-10-00,2624.314967754619,0.0
chipseq-aug-2~+01-11-00,2598.269871878484,0.0
chipseq-aug-2~+01-12-00,2583.6454648888266,0.0
chipseq-aug-2~+01-13-00,2448.3225637856676,0.0
chipseq-aug-2~+01-14-00,2472.4484354234237,0.0
chipseq-aug-2~+01-15-00,2343.639185250917,0.0
chipseq-aug-2~+01-16-00,2395.037574673668,0.0
chipseq-aug-2~+01-17-00,2288.508504104742,0.0
chipseq-aug-2~+01-18-00,2327.6203047741546,0.0
chipseq-aug-2~+01-19-00,2308.6378174094407,0.0
chipseq-aug-2~+01-20-00,2475.8076959614236,0.0
chipseq-aug-2~+01-21-00,2589.298211889403,0.0
chipseq-aug-2~+01-22-00,2647.440387402872,0.0
chipseq-aug-2~+01-23-00,2443.530990125441,0.0
chipseq-aug-2~+02-00-00,2372.758302852353,0.0
chipseq-aug-2~+02-01-00,2281.083735284497,0.0
chipseq-aug-2~+02-02-00,2332.7357032992704,0.0
chipseq-aug-2~+02-03-00,2460.3503061672836,0.0
chipseq-aug-2~+02-04-00,2495.947536379142,0.0
chipseq-aug-2~+02-05-00,2447.2468341080935,0.0
chipseq-aug-2~+02-06-00,2436.8175706533584,0.0
chipseq-aug-2~+02-07-00,2395.8890940924575,0.0
chipseq-aug-2~+02-08-00,2478.3371457174976,0.0
chipseq-aug-2~+02-09-00,2567.617187711273,0.0
chipseq-aug-2~+02-10-00,2634.3203382686625,0.0
chipseq-aug-2~+02-11-00,2673.0815596211723,0.0
chipseq-aug-2~+02-12-00,2673.247786482534,0.0
chipseq-aug-2~+02-13-00,2619.325313813022,0.0
chipseq-aug-2~+02-14-00,2566.8320017271953,0.0
chipseq-aug-2~+02-15-00,2493.515440517349,0.0
chipseq-aug-2~+02-16-00,2414.860248022601,0.0
chipseq-aug-2~+02-17-00,2463.2384241240597,0.0
chipseq-aug-2~+02-18-00,2476.7195854045617,0.0
chipseq-aug-2~+02-19-00,2585.578651249464,0.0
chipseq-aug-2~+02-20-00,2553.28943856971,0.0
chipseq-aug-2~+02-21-00,2526.4500907942916,0.0
chipseq-aug-2~+02-22-00,2466.6460294335016,0.0
chipseq-aug-2~+02-23-00,2392.3101214523667,0.0
chipseq-aug-2~+03-00-00,2379.6009442092,0.0
chipseq-aug-2~+03-01-00,2466.328284962628,0.0
chipseq-aug-2~+03-02-00,2486.015167673627,0.0
chipseq-aug-2~+03-03-00,2503.7797829332167,0.0
chipseq-aug-2~+03-04-00,2595.2425610842292,0.0
chipseq-aug-2~+03-05-00,2635.9780261140804,0.0
chipseq-aug-2~+03-06-00,2675.479729642864,0.0
chipseq-aug-2~+03-07-00,2708.711888463242,0.0
chipseq-aug-2~+03-08-00,2703.9017315467345,0.0
chipseq-aug-2~+03-09-00,2623.0597416842966,0.0
chipseq-aug-2~+03-10-00,2597.2013843726054,0.0
chipseq-aug-2~+03-11-00,2531.2541136636455,0.0
chipseq-aug-2~+03-12-00,2453.906578877458,0.0
chipseq-aug-2~+03-13-00,2446.310107897366,0.0
chipseq-aug-2~+03-14-00,2422.8682064185523,0.0
chipseq-aug-2~+03-15-00,2457.4814912133543,0.0
chipseq-aug-2~+03-16-00,2453.0028319426065,0.0
chipseq-aug-2~+03-17-00,2416.1508333068723,0.0
chipseq-aug-2~+03-18-00,2414.654266906641,0.0
chipseq-aug-2~+03-19-00,2416.5910787735693,0.0
chipseq-aug-2~+03-20-00,2453.4759872680274,0.0
chipseq-aug-2~+03-21-00,2386.6583926048334,0.0
chipseq-aug-2~+03-22-00,2311.7755357160477,0.0
