trace,op_ems,emb_ems
chipseq-jan-2,2953.0394282316156,0.0
chipseq-jan-2~+00-01-00,3098.963163288119,0.0
chipseq-jan-2~+00-02-00,3019.922964150048,0.0
chipseq-jan-2~+00-03-00,2984.334437187863,0.0
chipseq-jan-2~+00-04-00,2899.546412682722,0.0
chipseq-jan-2~+00-05-00,2912.2380724527648,0.0
chipseq-jan-2~+00-06-00,2996.205132160155,0.0
chipseq-jan-2~+00-07-00,2974.5968107244307,0.0
chipseq-jan-2~+00-08-00,2916.2331219104717,0.0
chipseq-jan-2~+00-09-00,2808.7309488850024,0.0
chipseq-jan-2~+00-10-00,2728.6294159458644,0.0
chipseq-jan-2~+00-11-00,2702.159333730894,0.0
chipseq-jan-2~+00-12-00,2678.266274677453,0.0
chipseq-jan-2~+00-13-00,2757.5432610506978,0.0
chipseq-jan-2~+00-14-00,2633.4574135915773,0.0
chipseq-jan-2~+00-15-00,2537.2198335219964,0.0
chipseq-jan-2~+00-16-00,2560.174882353116,0.0
chipseq-jan-2~+00-17-00,2574.8118945637607,0.0
chipseq-jan-2~+00-18-00,2533.1229299104652,0.0
chipseq-jan-2~+00-19-00,2559.5491898702257,0.0
chipseq-jan-2~+00-20-00,2647.6690952174486,0.0
chipseq-jan-2~+00-21-00,2759.021549698717,0.0
chipseq-jan-2~+00-22-00,2867.758441739047,0.0
chipseq-jan-2~+00-23-00,2958.3443673955153,0.0
chipseq-jan-2~+01-00-00,2927.8212724514424,0.0
chipseq-jan-2~+01-01-00,2851.772459518519,0.0
chipseq-jan-2~+01-02-00,2889.4718715732142,0.0
chipseq-jan-2~+01-03-00,2776.096339415695,0.0
chipseq-jan-2~+01-04-00,2944.3553576917334,0.0
chipseq-jan-2~+01-05-00,2869.9246511573215,0.0
chipseq-jan-2~+01-06-00,2981.338733422599,0.0
chipseq-jan-2~+01-07-00,3028.818434488795,0.0
chipseq-jan-2~+01-08-00,2965.4887183698193,0.0
chipseq-jan-2~+01-09-00,2941.7124049786757,0.0
chipseq-jan-2~+01-10-00,2848.1634973415194,0.0
chipseq-jan-2~+01-11-00,2652.59693201551,0.0
chipseq-jan-2~+01-12-00,2514.537637624334,0.0
chipseq-jan-2~+01-13-00,2546.001065276021,0.0
chipseq-jan-2~+01-14-00,2643.8881731574784,0.0
chipseq-jan-2~+01-15-00,2749.7143171652406,0.0
chipseq-jan-2~+01-16-00,2802.047724007366,0.0
chipseq-jan-2~+01-17-00,2761.328814436346,0.0
chipseq-jan-2~+01-18-00,2640.8116750353443,0.0
chipseq-jan-2~+01-19-00,2705.5336240921797,0.0
chipseq-jan-2~+01-20-00,2784.0441081068616,0.0
chipseq-jan-2~+01-21-00,2899.178733243427,0.0
chipseq-jan-2~+01-22-00,2789.1231762662846,0.0
chipseq-jan-2~+01-23-00,2923.5591886580282,0.0
chipseq-jan-2~+02-00-00,2999.8018113639496,0.0
