trace,op_ems,emb_ems
chipseq-jan-2,3008.968981583278,0.0
chipseq-jan-2~+00-01-00,2988.519947076412,0.0
chipseq-jan-2~+00-02-00,2953.426665962127,0.0
chipseq-jan-2~+00-03-00,2937.8440685954774,0.0
chipseq-jan-2~+00-04-00,2899.187875167687,0.0
chipseq-jan-2~+00-05-00,2911.527293918067,0.0
chipseq-jan-2~+00-06-00,2875.4023798464277,0.0
chipseq-jan-2~+00-07-00,2902.3876642647147,0.0
chipseq-jan-2~+00-08-00,2905.165205876147,0.0
chipseq-jan-2~+00-09-00,2894.3192050071766,0.0
chipseq-jan-2~+00-10-00,2855.691067773456,0.0
chipseq-jan-2~+00-11-00,2784.815986366935,0.0
chipseq-jan-2~+00-12-00,2714.373528592025,0.0
chipseq-jan-2~+00-13-00,2655.336912987197,0.0
chipseq-jan-2~+00-14-00,2599.4026660832455,0.0
chipseq-jan-2~+00-15-00,2565.41604591997,0.0
chipseq-jan-2~+00-16-00,2569.2278227946344,0.0
chipseq-jan-2~+00-17-00,2584.6113967487727,0.0
chipseq-jan-2~+00-18-00,2609.1052508094203,0.0
chipseq-jan-2~+00-19-00,2667.8351367154346,0.0
chipseq-jan-2~+00-20-00,2740.26937749764,0.0
chipseq-jan-2~+00-21-00,2806.833094599816,0.0
chipseq-jan-2~+00-22-00,2840.2758352846968,0.0
chipseq-jan-2~+00-23-00,2849.7907923592525,0.0
chipseq-jan-2~+01-00-00,2852.1725883080157,0.0
chipseq-jan-2~+01-01-00,2850.263387636787,0.0
chipseq-jan-2~+01-02-00,2845.2559281635326,0.0
chipseq-jan-2~+01-03-00,2861.5124940429773,0.0
chipseq-jan-2~+01-04-00,2910.7057237717263,0.0
chipseq-jan-2~+01-05-00,2909.9535794933045,0.0
chipseq-jan-2~+01-06-00,2949.8177189388807,0.0
chipseq-jan-2~+01-07-00,2929.4954373922537,0.0
chipseq-jan-2~+01-08-00,2902.708408329445,0.0
chipseq-jan-2~+01-09-00,2862.643250313336,0.0
chipseq-jan-2~+01-10-00,2851.6453123103242,0.0
chipseq-jan-2~+01-11-00,2803.161155559469,0.0
chipseq-jan-2~+01-12-00,2744.1129218020214,0.0
chipseq-jan-2~+01-13-00,2695.3164903088127,0.0
chipseq-jan-2~+01-14-00,2639.6516935960526,0.0
chipseq-jan-2~+01-15-00,2633.6042569199335,0.0
chipseq-jan-2~+01-16-00,2622.3952829970003,0.0
chipseq-jan-2~+01-17-00,2608.965019622334,0.0
chipseq-jan-2~+01-18-00,2616.651995821,0.0
chipseq-jan-2~+01-19-00,2683.452785241238,0.0
chipseq-jan-2~+01-20-00,2788.543100731033,0.0
chipseq-jan-2~+01-21-00,2909.7324188443135,0.0
chipseq-jan-2~+01-22-00,2973.8209018646203,0.0
chipseq-jan-2~+01-23-00,2998.212027079229,0.0
chipseq-jan-2~+02-00-00,2997.4474839798213,0.0
chipseq-jan-2~+02-01-00,2989.849862752917,0.0
chipseq-jan-2~+02-02-00,2991.3453503045475,0.0
chipseq-jan-2~+02-03-00,2971.3073480047133,0.0
chipseq-jan-2~+02-04-00,2976.681372956277,0.0
chipseq-jan-2~+02-05-00,2965.9871685673584,0.0
chipseq-jan-2~+02-06-00,2948.443792725041,0.0
chipseq-jan-2~+02-07-00,2983.3023368192926,0.0
