trace,op_ems,emb_ems
chipseq-jul-1,2403.006137916551,0.0
chipseq-jul-1~+00-01-00,2369.3631993643494,0.0
chipseq-jul-1~+00-02-00,2444.2985287273664,0.0
chipseq-jul-1~+00-03-00,2500.8757997091743,0.0
chipseq-jul-1~+00-04-00,2480.2224598122466,0.0
chipseq-jul-1~+00-05-00,2468.9225916696832,0.0
chipseq-jul-1~+00-06-00,2572.6866785761076,0.0
chipseq-jul-1~+00-07-00,2649.7869205066127,0.0
chipseq-jul-1~+00-08-00,2682.3590677552943,0.0
chipseq-jul-1~+00-09-00,2737.40445984254,0.0
chipseq-jul-1~+00-10-00,2718.200342836425,0.0
chipseq-jul-1~+00-11-00,2740.11997648057,0.0
chipseq-jul-1~+00-12-00,2765.3987316546104,0.0
chipseq-jul-1~+00-13-00,2601.2326353581616,0.0
chipseq-jul-1~+00-14-00,2580.1323252698685,0.0
chipseq-jul-1~+00-15-00,2495.9125187469754,0.0
chipseq-jul-1~+00-16-00,2397.055779389629,0.0
chipseq-jul-1~+00-17-00,2424.454767508889,0.0
chipseq-jul-1~+00-18-00,2390.0737104317022,0.0
chipseq-jul-1~+00-19-00,2416.426727913258,0.0
chipseq-jul-1~+00-20-00,2488.0008047710076,0.0
chipseq-jul-1~+00-21-00,2474.1474730099835,0.0
chipseq-jul-1~+00-22-00,2464.3665878375878,0.0
chipseq-jul-1~+00-23-00,2376.040209177042,0.0
chipseq-jul-1~+01-00-00,2413.815109370844,0.0
chipseq-jul-1~+01-01-00,2415.745580515248,0.0
chipseq-jul-1~+01-02-00,2432.3037611037307,0.0
chipseq-jul-1~+01-03-00,2477.7338527009374,0.0
chipseq-jul-1~+01-04-00,2480.649872391945,0.0
chipseq-jul-1~+01-05-00,2592.0721062538296,0.0
chipseq-jul-1~+01-06-00,2685.3793314677487,0.0
chipseq-jul-1~+01-07-00,2747.7327399962383,0.0
chipseq-jul-1~+01-08-00,2865.0743001843834,0.0
chipseq-jul-1~+01-09-00,2886.040653642276,0.0
chipseq-jul-1~+01-10-00,2832.408181567604,0.0
chipseq-jul-1~+01-11-00,2807.6739492842416,0.0
chipseq-jul-1~+01-12-00,2744.1989247723222,0.0
chipseq-jul-1~+01-13-00,2628.089684317092,0.0
chipseq-jul-1~+01-14-00,2533.266688438916,0.0
chipseq-jul-1~+01-15-00,2452.5725904027277,0.0
chipseq-jul-1~+01-16-00,2483.2833585093176,0.0
chipseq-jul-1~+01-17-00,2435.790592340266,0.0
chipseq-jul-1~+01-18-00,2454.673049591881,0.0
chipseq-jul-1~+01-19-00,2438.790297549169,0.0
chipseq-jul-1~+01-20-00,2422.7427326150437,0.0
chipseq-jul-1~+01-21-00,2419.642374707808,0.0
chipseq-jul-1~+01-22-00,2430.2404640970503,0.0
chipseq-jul-1~+01-23-00,2414.790967776993,0.0
chipseq-jul-1~+02-00-00,2396.40021944018,0.0
chipseq-jul-1~+02-01-00,2450.547492369099,0.0
chipseq-jul-1~+02-02-00,2442.716708499266,0.0
chipseq-jul-1~+02-03-00,2474.6909124736476,0.0
chipseq-jul-1~+02-04-00,2496.6271519399816,0.0
chipseq-jul-1~+02-05-00,2503.77493777854,0.0
chipseq-jul-1~+02-06-00,2519.013175891627,0.0
chipseq-jul-1~+02-07-00,2562.3441559780676,0.0
chipseq-jul-1~+02-08-00,2585.7794768538542,0.0
chipseq-jul-1~+02-09-00,2719.3484464767926,0.0
chipseq-jul-1~+02-10-00,2696.690887070794,0.0
chipseq-jul-1~+02-11-00,2692.177324365137,0.0
chipseq-jul-1~+02-12-00,2615.1170545028845,0.0
chipseq-jul-1~+02-13-00,2529.900051550935,0.0
chipseq-jul-1~+02-14-00,2464.3213158740155,0.0
chipseq-jul-1~+02-15-00,2521.8655056773005,0.0
chipseq-jul-1~+02-16-00,2534.350680007855,0.0
chipseq-jul-1~+02-17-00,2506.711698160987,0.0
chipseq-jul-1~+02-18-00,2546.9591804247493,0.0
chipseq-jul-1~+02-19-00,2494.8865889437066,0.0
chipseq-jul-1~+02-20-00,2433.239531677101,0.0
chipseq-jul-1~+02-21-00,2497.660240070736,0.0
chipseq-jul-1~+02-22-00,2525.836636241139,0.0
chipseq-jul-1~+02-23-00,2539.338105442428,0.0
chipseq-jul-1~+03-00-00,2499.9603281361674,0.0
chipseq-jul-1~+03-01-00,2424.9240221949217,0.0
chipseq-jul-1~+03-02-00,2471.76064749528,0.0
chipseq-jul-1~+03-03-00,2462.1443024023492,0.0
chipseq-jul-1~+03-04-00,2493.708227850648,0.0
chipseq-jul-1~+03-05-00,2555.588700178859,0.0
chipseq-jul-1~+03-06-00,2585.175368721716,0.0
chipseq-jul-1~+03-07-00,2647.6573733251284,0.0
chipseq-jul-1~+03-08-00,2714.556902012581,0.0
chipseq-jul-1~+03-09-00,2739.834174789728,0.0
chipseq-jul-1~+03-10-00,2727.5859195004973,0.0
chipseq-jul-1~+03-11-00,2741.908147145195,0.0
chipseq-jul-1~+03-12-00,2668.4729818689375,0.0
chipseq-jul-1~+03-13-00,2581.1270745015295,0.0
chipseq-jul-1~+03-14-00,2489.8902650123187,0.0
chipseq-jul-1~+03-15-00,2439.712230465476,0.0
chipseq-jul-1~+03-16-00,2396.2658483201426,0.0
chipseq-jul-1~+03-17-00,2480.3329997520523,0.0
chipseq-jul-1~+03-18-00,2437.1577285618528,0.0
chipseq-jul-1~+03-19-00,2523.999274698971,0.0
chipseq-jul-1~+03-20-00,2512.846592571791,0.0
chipseq-jul-1~+03-21-00,2454.5273097982927,0.0
chipseq-jul-1~+03-22-00,2522.791094198298,0.0
chipseq-jul-1~+03-23-00,2469.7152696159565,0.0
chipseq-jul-1~+04-00-00,2461.848834235148,0.0
