trace,op_ems,emb_ems
chipseq-jul-1,837.8265945397021,0.0
chipseq-jul-1~+00-01-00,820.5628379102207,0.0
chipseq-jul-1~+00-02-00,843.0860459988463,0.0
chipseq-jul-1~+00-03-00,823.958891846837,0.0
chipseq-jul-1~+00-04-00,848.5031848397441,0.0
chipseq-jul-1~+00-05-00,928.3228174541464,0.0
chipseq-jul-1~+00-06-00,972.7549336089238,0.0
chipseq-jul-1~+00-07-00,1084.0434091688285,0.0
chipseq-jul-1~+00-08-00,1098.124371275118,0.0
chipseq-jul-1~+00-09-00,1105.6330457451222,0.0
chipseq-jul-1~+00-10-00,1157.4054388554914,0.0
chipseq-jul-1~+00-11-00,1134.7760974273867,0.0
chipseq-jul-1~+00-12-00,994.8559615294209,0.0
chipseq-jul-1~+00-13-00,873.1033219166586,0.0
chipseq-jul-1~+00-14-00,600.3449744026025,0.0
chipseq-jul-1~+00-15-00,439.73782732243336,0.0
chipseq-jul-1~+00-16-00,340.8713143396368,0.0
chipseq-jul-1~+00-17-00,270.95347498909,0.0
chipseq-jul-1~+00-18-00,349.31743187472716,0.0
chipseq-jul-1~+00-19-00,336.85854525587126,0.0
chipseq-jul-1~+00-20-00,380.4635041654118,0.0
chipseq-jul-1~+00-21-00,384.8349800033755,0.0
chipseq-jul-1~+00-22-00,458.6529684492201,0.0
chipseq-jul-1~+00-23-00,441.5265077524654,0.0
chipseq-jul-1~+01-00-00,488.664669049819,0.0
chipseq-jul-1~+01-01-00,453.01366007698596,0.0
chipseq-jul-1~+01-02-00,387.5804951165252,0.0
chipseq-jul-1~+01-03-00,391.8782862496886,0.0
chipseq-jul-1~+01-04-00,400.5011325818664,0.0
chipseq-jul-1~+01-05-00,457.59508764669226,0.0
chipseq-jul-1~+01-06-00,481.7043651505467,0.0
chipseq-jul-1~+01-07-00,615.7091430504511,0.0
chipseq-jul-1~+01-08-00,633.2582507435668,0.0
chipseq-jul-1~+01-09-00,700.3294678609775,0.0
chipseq-jul-1~+01-10-00,730.0937121076545,0.0
chipseq-jul-1~+01-11-00,661.3663940141232,0.0
chipseq-jul-1~+01-12-00,564.9287826623747,0.0
chipseq-jul-1~+01-13-00,441.79527401408006,0.0
chipseq-jul-1~+01-14-00,353.8902415597179,0.0
