trace,op_ems,emb_ems
chipseq-oct-2,2529.48565227738,0.0
chipseq-oct-2~+00-01-00,2573.2786602181286,0.0
chipseq-oct-2~+00-02-00,2709.847539929991,0.0
chipseq-oct-2~+00-03-00,2788.6349714627413,0.0
chipseq-oct-2~+00-04-00,2874.329894718645,0.0
chipseq-oct-2~+00-05-00,2935.930849684206,0.0
chipseq-oct-2~+00-06-00,2988.4410177223126,0.0
chipseq-oct-2~+00-07-00,2915.7902844964187,0.0
chipseq-oct-2~+00-08-00,2871.012346628114,0.0
chipseq-oct-2~+00-09-00,2900.365444650157,0.0
chipseq-oct-2~+00-10-00,2898.021021329077,0.0
chipseq-oct-2~+00-11-00,2905.6068166732575,0.0
chipseq-oct-2~+00-12-00,2786.2838876551773,0.0
chipseq-oct-2~+00-13-00,2655.2382095578732,0.0
chipseq-oct-2~+00-14-00,2515.848164290848,0.0
chipseq-oct-2~+00-15-00,2452.6244207972904,0.0
chipseq-oct-2~+00-16-00,2453.331562850558,0.0
chipseq-oct-2~+00-17-00,2419.1813346641293,0.0
chipseq-oct-2~+00-18-00,2463.7494343250237,0.0
chipseq-oct-2~+00-19-00,2429.2315538656476,0.0
chipseq-oct-2~+00-20-00,2462.5626227485673,0.0
chipseq-oct-2~+00-21-00,2457.0301914374504,0.0
chipseq-oct-2~+00-22-00,2465.177463058487,0.0
chipseq-oct-2~+00-23-00,2473.9494315752436,0.0
chipseq-oct-2~+01-00-00,2527.705596432939,0.0
chipseq-oct-2~+01-01-00,2593.9761172339777,0.0
chipseq-oct-2~+01-02-00,2703.8871270644995,0.0
chipseq-oct-2~+01-03-00,2748.775061899656,0.0
chipseq-oct-2~+01-04-00,2832.1382887855093,0.0
chipseq-oct-2~+01-05-00,2904.040066696807,0.0
chipseq-oct-2~+01-06-00,2996.320424485439,0.0
chipseq-oct-2~+01-07-00,3030.708218808345,0.0
chipseq-oct-2~+01-08-00,3031.3474166014594,0.0
chipseq-oct-2~+01-09-00,2969.559083279306,0.0
chipseq-oct-2~+01-10-00,2781.530683566765,0.0
chipseq-oct-2~+01-11-00,2649.57323369765,0.0
chipseq-oct-2~+01-12-00,2473.8946922751265,0.0
chipseq-oct-2~+01-13-00,2422.243249263848,0.0
chipseq-oct-2~+01-14-00,2545.1556619096964,0.0
chipseq-oct-2~+01-15-00,2567.9222595887786,0.0
chipseq-oct-2~+01-16-00,2608.064618070178,0.0
chipseq-oct-2~+01-17-00,2497.113400760979,0.0
chipseq-oct-2~+01-18-00,2389.702299844036,0.0
chipseq-oct-2~+01-19-00,2341.8750464325285,0.0
chipseq-oct-2~+01-20-00,2467.100800515083,0.0
chipseq-oct-2~+01-21-00,2457.8926068264877,0.0
chipseq-oct-2~+01-22-00,2526.939432828739,0.0
chipseq-oct-2~+01-23-00,2525.1196161828,0.0
chipseq-oct-2~+02-00-00,2475.745485631951,0.0
chipseq-oct-2~+02-01-00,2649.410513628419,0.0
chipseq-oct-2~+02-02-00,2614.809933738453,0.0
chipseq-oct-2~+02-03-00,2694.6526273755544,0.0
chipseq-oct-2~+02-04-00,2796.2742017059654,0.0
chipseq-oct-2~+02-05-00,2747.566291926957,0.0
chipseq-oct-2~+02-06-00,2773.408176411497,0.0
chipseq-oct-2~+02-07-00,2789.4127922074144,0.0
chipseq-oct-2~+02-08-00,2820.726501445397,0.0
chipseq-oct-2~+02-09-00,2948.5136955306684,0.0
chipseq-oct-2~+02-10-00,3023.209230414804,0.0
chipseq-oct-2~+02-11-00,2999.526413724191,0.0
chipseq-oct-2~+02-12-00,2937.729248156065,0.0
chipseq-oct-2~+02-13-00,2853.633220388765,0.0
chipseq-oct-2~+02-14-00,2633.1195879138586,0.0
chipseq-oct-2~+02-15-00,2593.631470572067,0.0
chipseq-oct-2~+02-16-00,2435.551095762506,0.0
chipseq-oct-2~+02-17-00,2449.5052114219325,0.0
chipseq-oct-2~+02-18-00,2531.695662203475,0.0
chipseq-oct-2~+02-19-00,2573.4631915709015,0.0
chipseq-oct-2~+02-20-00,2634.651459109676,0.0
chipseq-oct-2~+02-21-00,2595.554569467763,0.0
chipseq-oct-2~+02-22-00,2601.9098515332535,0.0
chipseq-oct-2~+02-23-00,2478.8227272390136,0.0
chipseq-oct-2~+03-00-00,2551.559591044638,0.0
chipseq-oct-2~+03-01-00,2522.7207008669475,0.0
chipseq-oct-2~+03-02-00,2631.125711648371,0.0
chipseq-oct-2~+03-03-00,2701.577168319649,0.0
chipseq-oct-2~+03-04-00,2730.2552431390795,0.0
chipseq-oct-2~+03-05-00,2671.078120374622,0.0
chipseq-oct-2~+03-06-00,2696.918759538105,0.0
chipseq-oct-2~+03-07-00,2734.4049390095242,0.0
chipseq-oct-2~+03-08-00,2757.373193043936,0.0
chipseq-oct-2~+03-09-00,2709.5339011564074,0.0
chipseq-oct-2~+03-10-00,2693.004069781147,0.0
chipseq-oct-2~+03-11-00,2707.168932857052,0.0
chipseq-oct-2~+03-12-00,2682.8439269375867,0.0
chipseq-oct-2~+03-13-00,2626.400017040506,0.0
chipseq-oct-2~+03-14-00,2546.7548086018915,0.0
chipseq-oct-2~+03-15-00,2453.1291101118177,0.0
chipseq-oct-2~+03-16-00,2409.6100346943995,0.0
chipseq-oct-2~+03-17-00,2392.7179712740563,0.0
chipseq-oct-2~+03-18-00,2391.735227238573,0.0
