trace,op_ems,emb_ems
chipseq-oct-3,1218.3614520456815,0.0
chipseq-oct-3~+00-01-00,1180.5493344527722,0.0
chipseq-oct-3~+00-02-00,1143.3085389345629,0.0
chipseq-oct-3~+00-03-00,1135.3314408246652,0.0
chipseq-oct-3~+00-04-00,1165.470121234022,0.0
chipseq-oct-3~+00-05-00,1202.7699776821976,0.0
chipseq-oct-3~+00-06-00,1302.8205922589837,0.0
chipseq-oct-3~+00-07-00,1371.365216836632,0.0
chipseq-oct-3~+00-08-00,1432.1452962006215,0.0
chipseq-oct-3~+00-09-00,1439.1949950181975,0.0
chipseq-oct-3~+00-10-00,1371.1716598591713,0.0
chipseq-oct-3~+00-11-00,1244.5288711798644,0.0
chipseq-oct-3~+00-12-00,1099.1290066271872,0.0
chipseq-oct-3~+00-13-00,918.4941471396844,0.0
chipseq-oct-3~+00-14-00,778.1767707419151,0.0
chipseq-oct-3~+00-15-00,664.0246622587703,0.0
chipseq-oct-3~+00-16-00,601.6385259450599,0.0
chipseq-oct-3~+00-17-00,597.6921975210314,0.0
chipseq-oct-3~+00-18-00,624.1663632250559,0.0
chipseq-oct-3~+00-19-00,723.2758424691125,0.0
chipseq-oct-3~+00-20-00,814.276173941719,0.0
chipseq-oct-3~+00-21-00,899.2636472301648,0.0
chipseq-oct-3~+00-22-00,888.1215169123019,0.0
chipseq-oct-3~+00-23-00,866.2697851893367,0.0
chipseq-oct-3~+01-00-00,795.0646170897357,0.0
chipseq-oct-3~+01-01-00,725.7328598236736,0.0
chipseq-oct-3~+01-02-00,696.8651147224621,0.0
chipseq-oct-3~+01-03-00,676.1729069184299,0.0
chipseq-oct-3~+01-04-00,683.0844457503872,0.0
chipseq-oct-3~+01-05-00,723.6457183313195,0.0
chipseq-oct-3~+01-06-00,753.3608303834228,0.0
chipseq-oct-3~+01-07-00,804.4784555065114,0.0
chipseq-oct-3~+01-08-00,840.3722285566085,0.0
chipseq-oct-3~+01-09-00,756.9330992786383,0.0
chipseq-oct-3~+01-10-00,660.5334459093715,0.0
chipseq-oct-3~+01-11-00,516.2870214788323,0.0
chipseq-oct-3~+01-12-00,426.1950479744141,0.0
chipseq-oct-3~+01-13-00,364.8429451802825,0.0
chipseq-oct-3~+01-14-00,384.006877247563,0.0
chipseq-oct-3~+01-15-00,362.5102919235983,0.0
chipseq-oct-3~+01-16-00,368.59093209188177,0.0
chipseq-oct-3~+01-17-00,372.5370291235429,0.0
chipseq-oct-3~+01-18-00,389.2421081628363,0.0
chipseq-oct-3~+01-19-00,436.40091892589226,0.0
chipseq-oct-3~+01-20-00,493.0274678674905,0.0
chipseq-oct-3~+01-21-00,549.5123470594099,0.0
chipseq-oct-3~+01-22-00,578.8717273245272,0.0
chipseq-oct-3~+01-23-00,634.5310036899048,0.0
chipseq-oct-3~+02-00-00,671.2068006040677,0.0
chipseq-oct-3~+02-01-00,706.0699953480018,0.0
chipseq-oct-3~+02-02-00,756.4907793675937,0.0
chipseq-oct-3~+02-03-00,750.0981530941733,0.0
chipseq-oct-3~+02-04-00,790.003539538139,0.0
chipseq-oct-3~+02-05-00,845.782006281991,0.0
chipseq-oct-3~+02-06-00,911.0587020790913,0.0
chipseq-oct-3~+02-07-00,974.8641349352251,0.0
chipseq-oct-3~+02-08-00,1002.5889782053791,0.0
chipseq-oct-3~+02-09-00,950.9477663642098,0.0
chipseq-oct-3~+02-10-00,880.1623348912988,0.0
chipseq-oct-3~+02-11-00,784.7812647179632,0.0
chipseq-oct-3~+02-12-00,701.9044982996978,0.0
chipseq-oct-3~+02-13-00,615.8917932743609,0.0
chipseq-oct-3~+02-14-00,553.9767583322392,0.0
chipseq-oct-3~+02-15-00,532.6721609923538,0.0
chipseq-oct-3~+02-16-00,533.72192131828,0.0
chipseq-oct-3~+02-17-00,575.9180309079584,0.0
chipseq-oct-3~+02-18-00,621.1900442844649,0.0
chipseq-oct-3~+02-19-00,723.8597415048011,0.0
chipseq-oct-3~+02-20-00,853.2266373458629,0.0
chipseq-oct-3~+02-21-00,945.0981428133695,0.0
chipseq-oct-3~+02-22-00,983.3400986764426,0.0
chipseq-oct-3~+02-23-00,872.9421838256565,0.0
chipseq-oct-3~+03-00-00,722.6580969596837,0.0
chipseq-oct-3~+03-01-00,597.4180988599122,0.0
chipseq-oct-3~+03-02-00,531.1383455681449,0.0
chipseq-oct-3~+03-03-00,527.904904230749,0.0
chipseq-oct-3~+03-04-00,608.9336034020462,0.0
chipseq-oct-3~+03-05-00,700.7629427401203,0.0
chipseq-oct-3~+03-06-00,862.0094887681973,0.0
chipseq-oct-3~+03-07-00,1031.9215398075,0.0
chipseq-oct-3~+03-08-00,1141.5634326974482,0.0
chipseq-oct-3~+03-09-00,1221.1631278353977,0.0
chipseq-oct-3~+03-10-00,1188.8573722998715,0.0
chipseq-oct-3~+03-11-00,1133.4978885731066,0.0
chipseq-oct-3~+03-12-00,1021.3718543961139,0.0
chipseq-oct-3~+03-13-00,951.1365593285294,0.0
chipseq-oct-3~+03-14-00,872.7828694204895,0.0
chipseq-oct-3~+03-15-00,803.9088387697318,0.0
chipseq-oct-3~+03-16-00,792.3179754102116,0.0
chipseq-oct-3~+03-17-00,791.6400128055845,0.0
chipseq-oct-3~+03-18-00,804.3707289679799,0.0
chipseq-oct-3~+03-19-00,914.4572562562826,0.0
chipseq-oct-3~+03-20-00,999.0484032292361,0.0
chipseq-oct-3~+03-21-00,1053.9103127662847,0.0
chipseq-oct-3~+03-22-00,1021.1269701073745,0.0
chipseq-oct-3~+03-23-00,923.5597623964131,0.0
chipseq-oct-3~+04-00-00,772.747772202192,0.0
