trace,op_ems,emb_ems
chipseq-sep-1,2360.0231034203225,0.0
chipseq-sep-1~+00-01-00,2369.8763610660953,0.0
chipseq-sep-1~+00-02-00,2411.296474391526,0.0
chipseq-sep-1~+00-03-00,2636.5985792975134,0.0
chipseq-sep-1~+00-04-00,2543.775131813549,0.0
chipseq-sep-1~+00-05-00,2672.0062919542997,0.0
chipseq-sep-1~+00-06-00,2643.9861159917014,0.0
chipseq-sep-1~+00-07-00,2644.462217460426,0.0
chipseq-sep-1~+00-08-00,2731.563807240197,0.0
chipseq-sep-1~+00-09-00,2789.53581122548,0.0
chipseq-sep-1~+00-10-00,2752.36608722582,0.0
chipseq-sep-1~+00-11-00,2808.8633755531214,0.0
chipseq-sep-1~+00-12-00,2679.891317349173,0.0
chipseq-sep-1~+00-13-00,2541.7503009087286,0.0
chipseq-sep-1~+00-14-00,2504.7985557640286,0.0
chipseq-sep-1~+00-15-00,2571.205244744748,0.0
chipseq-sep-1~+00-16-00,2562.38023239553,0.0
chipseq-sep-1~+00-17-00,2573.0963191788883,0.0
chipseq-sep-1~+00-18-00,2627.93362883984,0.0
chipseq-sep-1~+00-19-00,2664.241264798212,0.0
chipseq-sep-1~+00-20-00,2693.9736337337936,0.0
chipseq-sep-1~+00-21-00,2683.1948080909897,0.0
chipseq-sep-1~+00-22-00,2621.257256199122,0.0
chipseq-sep-1~+00-23-00,2443.9898428983124,0.0
chipseq-sep-1~+01-00-00,2448.05397550204,0.0
chipseq-sep-1~+01-01-00,2597.013369408808,0.0
chipseq-sep-1~+01-02-00,2648.5311146375816,0.0
chipseq-sep-1~+01-03-00,2781.8238061828424,0.0
chipseq-sep-1~+01-04-00,2652.778878384399,0.0
chipseq-sep-1~+01-05-00,2584.3975037707987,0.0
chipseq-sep-1~+01-06-00,2394.8235334254214,0.0
chipseq-sep-1~+01-07-00,2331.8653967486953,0.0
chipseq-sep-1~+01-08-00,2324.8243717035366,0.0
chipseq-sep-1~+01-09-00,2435.872717382573,0.0
chipseq-sep-1~+01-10-00,2349.1047879155817,0.0
chipseq-sep-1~+01-11-00,2429.4438019472937,0.0
chipseq-sep-1~+01-12-00,2348.686779141208,0.0
chipseq-sep-1~+01-13-00,2443.874421618715,0.0
chipseq-sep-1~+01-14-00,2583.6220567788823,0.0
chipseq-sep-1~+01-15-00,2679.011807470558,0.0
chipseq-sep-1~+01-16-00,2811.6370944724667,0.0
chipseq-sep-1~+01-17-00,2813.114814793826,0.0
chipseq-sep-1~+01-18-00,2800.1795361657246,0.0
chipseq-sep-1~+01-19-00,2755.305000104928,0.0
chipseq-sep-1~+01-20-00,2738.71202192851,0.0
chipseq-sep-1~+01-21-00,2883.955168193848,0.0
chipseq-sep-1~+01-22-00,2921.878734729772,0.0
chipseq-sep-1~+01-23-00,2940.0661320163263,0.0
chipseq-sep-1~+02-00-00,2864.10194535659,0.0
chipseq-sep-1~+02-01-00,2549.792953948781,0.0
chipseq-sep-1~+02-02-00,2602.8136949044133,0.0
chipseq-sep-1~+02-03-00,2555.507494358014,0.0
chipseq-sep-1~+02-04-00,2569.8734962935855,0.0
chipseq-sep-1~+02-05-00,2549.996783491075,0.0
chipseq-sep-1~+02-06-00,2457.3178257502013,0.0
chipseq-sep-1~+02-07-00,2447.1197584695046,0.0
chipseq-sep-1~+02-08-00,2406.6488759503236,0.0
chipseq-sep-1~+02-09-00,2462.8977673366962,0.0
chipseq-sep-1~+02-10-00,2358.554760519285,0.0
chipseq-sep-1~+02-11-00,2544.1112270318818,0.0
chipseq-sep-1~+02-12-00,2567.610111189246,0.0
chipseq-sep-1~+02-13-00,2634.052876798473,0.0
chipseq-sep-1~+02-14-00,2772.663081169095,0.0
chipseq-sep-1~+02-15-00,2713.20534963931,0.0
chipseq-sep-1~+02-16-00,2648.137316651737,0.0
chipseq-sep-1~+02-17-00,2631.1641032691823,0.0
chipseq-sep-1~+02-18-00,2485.519438308441,0.0
chipseq-sep-1~+02-19-00,2484.99869902841,0.0
chipseq-sep-1~+02-20-00,2525.123479585161,0.0
chipseq-sep-1~+02-21-00,2672.6861924351115,0.0
chipseq-sep-1~+02-22-00,2761.4676735427583,0.0
chipseq-sep-1~+02-23-00,2926.245387864109,0.0
chipseq-sep-1~+03-00-00,2893.5113778374757,0.0
chipseq-sep-1~+03-01-00,2747.387295566915,0.0
chipseq-sep-1~+03-02-00,2755.4487768009576,0.0
chipseq-sep-1~+03-03-00,2616.6943904300374,0.0
chipseq-sep-1~+03-04-00,2647.0906949342607,0.0
chipseq-sep-1~+03-05-00,2697.1633726119935,0.0
chipseq-sep-1~+03-06-00,2581.956403855272,0.0
chipseq-sep-1~+03-07-00,2506.1593542962937,0.0
chipseq-sep-1~+03-08-00,2336.4808276938484,0.0
chipseq-sep-1~+03-09-00,2239.5271850290187,0.0
chipseq-sep-1~+03-10-00,2343.3975886600874,0.0
chipseq-sep-1~+03-11-00,2416.7672965984784,0.0
chipseq-sep-1~+03-12-00,2552.974636955496,0.0
chipseq-sep-1~+03-13-00,2507.770735851224,0.0
chipseq-sep-1~+03-14-00,2438.3992399216127,0.0
chipseq-sep-1~+03-15-00,2608.477231324726,0.0
chipseq-sep-1~+03-16-00,2605.7664514577145,0.0
chipseq-sep-1~+03-17-00,2726.7419215862246,0.0
chipseq-sep-1~+03-18-00,2670.6530408347476,0.0
chipseq-sep-1~+03-19-00,2619.886356064744,0.0
chipseq-sep-1~+03-20-00,2468.7676401795406,0.0
chipseq-sep-1~+03-21-00,2398.914083333404,0.0
chipseq-sep-1~+03-22-00,2505.6921928344323,0.0
chipseq-sep-1~+03-23-00,2372.172636323461,0.0
chipseq-sep-1~+04-00-00,2613.346379245968,0.0
