trace,op_ems,emb_ems
mag-apr-3,1413.946717175037,0.0
mag-apr-3~+00-01-00,1396.7599710058157,0.0
mag-apr-3~+00-02-00,1346.8158487713147,0.0
mag-apr-3~+00-03-00,1282.7151121867446,0.0
mag-apr-3~+00-04-00,1228.38450746443,0.0
mag-apr-3~+00-05-00,1187.4875873928045,0.0
mag-apr-3~+00-06-00,1181.4533702453184,0.0
mag-apr-3~+00-07-00,1175.8503609358627,0.0
mag-apr-3~+00-08-00,1127.4513391276,0.0
mag-apr-3~+00-09-00,1048.1701871668422,0.0
mag-apr-3~+00-10-00,950.2897416080156,0.0
mag-apr-3~+00-11-00,833.7968339590276,0.0
mag-apr-3~+00-12-00,716.6366328606879,0.0
mag-apr-3~+00-13-00,614.1436096843279,0.0
mag-apr-3~+00-14-00,536.6097981017654,0.0
mag-apr-3~+00-15-00,500.7692673520262,0.0
mag-apr-3~+00-16-00,467.24839929805444,0.0
mag-apr-3~+00-17-00,439.5374385609865,0.0
mag-apr-3~+00-18-00,419.6896081275438,0.0
mag-apr-3~+00-19-00,407.7595353853417,0.0
mag-apr-3~+00-20-00,387.20491775948784,0.0
mag-apr-3~+00-21-00,361.0463590995942,0.0
mag-apr-3~+00-22-00,352.07552546712907,0.0
mag-apr-3~+00-23-00,346.98353362326355,0.0
mag-apr-3~+01-00-00,349.18942242695556,0.0
mag-apr-3~+01-01-00,351.4481468726493,0.0
mag-apr-3~+01-02-00,359.72168495478195,0.0
mag-apr-3~+01-03-00,376.6543220830927,0.0
mag-apr-3~+01-04-00,398.2339560685688,0.0
mag-apr-3~+01-05-00,425.61738364706724,0.0
mag-apr-3~+01-06-00,453.6054256307694,0.0
mag-apr-3~+01-07-00,478.7473723791061,0.0
mag-apr-3~+01-08-00,508.8196705350906,0.0
mag-apr-3~+01-09-00,586.7150635413478,0.0
mag-apr-3~+01-10-00,675.3257158125139,0.0
mag-apr-3~+01-11-00,744.2555604521651,0.0
mag-apr-3~+01-12-00,783.188348579163,0.0
mag-apr-3~+01-13-00,780.2974364637976,0.0
mag-apr-3~+01-14-00,742.8176180898338,0.0
mag-apr-3~+01-15-00,704.7244655448152,0.0
mag-apr-3~+01-16-00,678.8414741245308,0.0
mag-apr-3~+01-17-00,664.3058781644828,0.0
mag-apr-3~+01-18-00,655.9510770562757,0.0
mag-apr-3~+01-19-00,647.6359642906621,0.0
mag-apr-3~+01-20-00,637.6977555888848,0.0
mag-apr-3~+01-21-00,614.5824683741766,0.0
mag-apr-3~+01-22-00,568.1771085315142,0.0
mag-apr-3~+01-23-00,514.0663130943457,0.0
mag-apr-3~+02-00-00,468.11139920965365,0.0
mag-apr-3~+02-01-00,448.19087350640166,0.0
mag-apr-3~+02-02-00,439.5215798701813,0.0
mag-apr-3~+02-03-00,440.10521508347796,0.0
mag-apr-3~+02-04-00,460.35032326162843,0.0
mag-apr-3~+02-05-00,490.50923133357594,0.0
mag-apr-3~+02-06-00,514.4140880668784,0.0
mag-apr-3~+02-07-00,528.1277635885347,0.0
mag-apr-3~+02-08-00,550.6766810105009,0.0
mag-apr-3~+02-09-00,577.6252575554712,0.0
mag-apr-3~+02-10-00,598.2009835471135,0.0
mag-apr-3~+02-11-00,605.2869357202092,0.0
mag-apr-3~+02-12-00,616.0913472138004,0.0
mag-apr-3~+02-13-00,616.4939826736268,0.0
mag-apr-3~+02-14-00,601.5089592425657,0.0
mag-apr-3~+02-15-00,596.0460177368436,0.0
mag-apr-3~+02-16-00,590.7803956286526,0.0
mag-apr-3~+02-17-00,577.4557367313921,0.0
mag-apr-3~+02-18-00,577.4094047664323,0.0
mag-apr-3~+02-19-00,589.8419408954693,0.0
mag-apr-3~+02-20-00,621.3427162925911,0.0
mag-apr-3~+02-21-00,662.8855731328497,0.0
mag-apr-3~+02-22-00,707.6086982937557,0.0
mag-apr-3~+02-23-00,737.206278100075,0.0
mag-apr-3~+03-00-00,746.3857699845194,0.0
mag-apr-3~+03-01-00,732.615835659037,0.0
mag-apr-3~+03-02-00,708.5944465899122,0.0
mag-apr-3~+03-03-00,693.2228737511837,0.0
mag-apr-3~+03-04-00,696.6998447435337,0.0
mag-apr-3~+03-05-00,717.9926107911704,0.0
mag-apr-3~+03-06-00,742.0574815139455,0.0
mag-apr-3~+03-07-00,752.0482600068309,0.0
mag-apr-3~+03-08-00,749.9139544792256,0.0
mag-apr-3~+03-09-00,732.7142467639503,0.0
mag-apr-3~+03-10-00,700.5003616621502,0.0
mag-apr-3~+03-11-00,658.2786079324615,0.0
mag-apr-3~+03-12-00,612.2033648065966,0.0
mag-apr-3~+03-13-00,578.7873316815225,0.0
mag-apr-3~+03-14-00,541.8330052633202,0.0
mag-apr-3~+03-15-00,513.7195574597924,0.0
mag-apr-3~+03-16-00,495.5669976446589,0.0
mag-apr-3~+03-17-00,468.9520184099978,0.0
mag-apr-3~+03-18-00,434.1115151711982,0.0
mag-apr-3~+03-19-00,412.42803830433945,0.0
mag-apr-3~+03-20-00,398.7270521306516,0.0
mag-apr-3~+03-21-00,383.7383365900722,0.0
mag-apr-3~+03-22-00,389.8992628076009,0.0
mag-apr-3~+03-23-00,406.28743468663424,0.0
mag-apr-3~+04-00-00,414.1329385187538,0.0
