trace,op_ems,emb_ems
mag-feb-2,5300.163892382652,0.0
mag-feb-2~+00-01-00,5333.543199887823,0.0
mag-feb-2~+00-02-00,5332.722889340976,0.0
mag-feb-2~+00-03-00,5316.268344704461,0.0
mag-feb-2~+00-04-00,5308.821861487876,0.0
mag-feb-2~+00-05-00,5281.666207498583,0.0
mag-feb-2~+00-06-00,5298.0472960268435,0.0
mag-feb-2~+00-07-00,5243.414030712854,0.0
mag-feb-2~+00-08-00,5193.009107965914,0.0
mag-feb-2~+00-09-00,5153.764207957243,0.0
mag-feb-2~+00-10-00,5104.318091690064,0.0
mag-feb-2~+00-11-00,5074.580780713121,0.0
mag-feb-2~+00-12-00,5096.16438096094,0.0
mag-feb-2~+00-13-00,5119.642903652175,0.0
mag-feb-2~+00-14-00,5112.8549733097425,0.0
mag-feb-2~+00-15-00,5153.005638046283,0.0
mag-feb-2~+00-16-00,5176.2963632039355,0.0
mag-feb-2~+00-17-00,5183.899404802588,0.0
mag-feb-2~+00-18-00,5230.323473634933,0.0
mag-feb-2~+00-19-00,5273.660054975584,0.0
mag-feb-2~+00-20-00,5328.834043804699,0.0
mag-feb-2~+00-21-00,5364.676032956411,0.0
mag-feb-2~+00-22-00,5364.9010133716565,0.0
mag-feb-2~+00-23-00,5379.514277720053,0.0
mag-feb-2~+01-00-00,5352.242967404917,0.0
mag-feb-2~+01-01-00,5351.801471659027,0.0
mag-feb-2~+01-02-00,5343.697054685455,0.0
mag-feb-2~+01-03-00,5298.564817588249,0.0
mag-feb-2~+01-04-00,5259.543877884843,0.0
mag-feb-2~+01-05-00,5195.216454607891,0.0
mag-feb-2~+01-06-00,5162.134677922552,0.0
mag-feb-2~+01-07-00,5110.586867026256,0.0
mag-feb-2~+01-08-00,5045.929652043933,0.0
mag-feb-2~+01-09-00,4994.967751140172,0.0
mag-feb-2~+01-10-00,4968.994717637204,0.0
mag-feb-2~+01-11-00,4953.707372897014,0.0
mag-feb-2~+01-12-00,4958.283245247328,0.0
mag-feb-2~+01-13-00,4946.027596695436,0.0
mag-feb-2~+01-14-00,4929.927517438286,0.0
mag-feb-2~+01-15-00,4961.363972611762,0.0
mag-feb-2~+01-16-00,5000.927479292299,0.0
mag-feb-2~+01-17-00,5072.180615386605,0.0
mag-feb-2~+01-18-00,5135.881176752274,0.0
mag-feb-2~+01-19-00,5169.143521349805,0.0
mag-feb-2~+01-20-00,5199.34106975842,0.0
mag-feb-2~+01-21-00,5263.194827530952,0.0
mag-feb-2~+01-22-00,5298.439710534476,0.0
mag-feb-2~+01-23-00,5353.232352430841,0.0
mag-feb-2~+02-00-00,5340.742174640951,0.0
mag-feb-2~+02-01-00,5337.323545142389,0.0
mag-feb-2~+02-02-00,5364.377777292581,0.0
mag-feb-2~+02-03-00,5326.711813110711,0.0
mag-feb-2~+02-04-00,5291.019579505691,0.0
mag-feb-2~+02-05-00,5220.5100071357465,0.0
mag-feb-2~+02-06-00,5173.408393344568,0.0
mag-feb-2~+02-07-00,5155.851208702921,0.0
mag-feb-2~+02-08-00,5118.459132526177,0.0
mag-feb-2~+02-09-00,5094.24890592174,0.0
mag-feb-2~+02-10-00,5075.656174014089,0.0
mag-feb-2~+02-11-00,5021.406627820029,0.0
mag-feb-2~+02-12-00,4974.899184367804,0.0
mag-feb-2~+02-13-00,4967.69571526843,0.0
mag-feb-2~+02-14-00,4944.384551057587,0.0
mag-feb-2~+02-15-00,4939.170462967357,0.0
mag-feb-2~+02-16-00,4956.532378801579,0.0
mag-feb-2~+02-17-00,4972.192541310236,0.0
mag-feb-2~+02-18-00,5027.615617082723,0.0
mag-feb-2~+02-19-00,5087.934247378259,0.0
mag-feb-2~+02-20-00,5117.206462461221,0.0
mag-feb-2~+02-21-00,5165.461974056583,0.0
mag-feb-2~+02-22-00,5178.349769576173,0.0
mag-feb-2~+02-23-00,5213.710483051472,0.0
mag-feb-2~+03-00-00,5239.345164879445,0.0
mag-feb-2~+03-01-00,5236.662476437545,0.0
mag-feb-2~+03-02-00,5241.0810172118245,0.0
mag-feb-2~+03-03-00,5235.6608919442815,0.0
mag-feb-2~+03-04-00,5237.827174530537,0.0
mag-feb-2~+03-05-00,5214.0920620939,0.0
mag-feb-2~+03-06-00,5150.878222916981,0.0
mag-feb-2~+03-07-00,5088.951915006618,0.0
mag-feb-2~+03-08-00,5047.437466611737,0.0
mag-feb-2~+03-09-00,5001.636144355945,0.0
mag-feb-2~+03-10-00,4951.488672339255,0.0
mag-feb-2~+03-11-00,4935.306908740755,0.0
mag-feb-2~+03-12-00,4949.8765985638165,0.0
mag-feb-2~+03-13-00,4970.159692279394,0.0
mag-feb-2~+03-14-00,4979.352879707902,0.0
mag-feb-2~+03-15-00,4973.946093681471,0.0
mag-feb-2~+03-16-00,4953.461162594538,0.0
mag-feb-2~+03-17-00,4939.346561256041,0.0
mag-feb-2~+03-18-00,5011.406571975989,0.0
mag-feb-2~+03-19-00,5076.737531449744,0.0
mag-feb-2~+03-20-00,5122.9771950097165,0.0
mag-feb-2~+03-21-00,5166.794353806265,0.0
mag-feb-2~+03-22-00,5239.556142617803,0.0
mag-feb-2~+03-23-00,5264.589290316859,0.0
mag-feb-2~+04-00-00,5274.488980440548,0.0
