trace,op_ems,emb_ems
mag-jan-1,2417.4363700612516,0.0
mag-jan-1~+00-01-00,2388.6808098224183,0.0
mag-jan-1~+00-02-00,2368.980327909022,0.0
mag-jan-1~+00-03-00,2311.160201164109,0.0
mag-jan-1~+00-04-00,2232.831003094139,0.0
mag-jan-1~+00-05-00,2215.835585823525,0.0
mag-jan-1~+00-06-00,2154.3155661364262,0.0
mag-jan-1~+00-07-00,2059.431955941246,0.0
mag-jan-1~+00-08-00,2013.5505747806037,0.0
mag-jan-1~+00-09-00,2031.6298898544396,0.0
mag-jan-1~+00-10-00,1983.910260448085,0.0
mag-jan-1~+00-11-00,1972.0345605309008,0.0
mag-jan-1~+00-12-00,2014.6511538984432,0.0
mag-jan-1~+00-13-00,2038.4021956598153,0.0
mag-jan-1~+00-14-00,1997.2791852327446,0.0
mag-jan-1~+00-15-00,1967.461335835978,0.0
mag-jan-1~+00-16-00,1955.0043683740246,0.0
mag-jan-1~+00-17-00,1959.8751225720182,0.0
mag-jan-1~+00-18-00,2002.1195895321787,0.0
mag-jan-1~+00-19-00,2050.448630024935,0.0
mag-jan-1~+00-20-00,2113.671700769806,0.0
mag-jan-1~+00-21-00,2189.5312265166467,0.0
mag-jan-1~+00-22-00,2235.0480817074913,0.0
mag-jan-1~+00-23-00,2248.638724429751,0.0
mag-jan-1~+01-00-00,2219.7679365290746,0.0
mag-jan-1~+01-01-00,2205.1649918492435,0.0
mag-jan-1~+01-02-00,2220.9748230569535,0.0
mag-jan-1~+01-03-00,2244.865930937348,0.0
mag-jan-1~+01-04-00,2280.193310042731,0.0
mag-jan-1~+01-05-00,2353.976166515422,0.0
mag-jan-1~+01-06-00,2415.442269127387,0.0
mag-jan-1~+01-07-00,2480.791642286996,0.0
mag-jan-1~+01-08-00,2524.015028283744,0.0
mag-jan-1~+01-09-00,2481.046331419683,0.0
mag-jan-1~+01-10-00,2458.0652161384187,0.0
mag-jan-1~+01-11-00,2483.846872899706,0.0
mag-jan-1~+01-12-00,2473.8459401490554,0.0
mag-jan-1~+01-13-00,2438.8875513526914,0.0
mag-jan-1~+01-14-00,2433.0445334378383,0.0
mag-jan-1~+01-15-00,2456.475032025827,0.0
mag-jan-1~+01-16-00,2439.8978732100722,0.0
mag-jan-1~+01-17-00,2425.865447124229,0.0
mag-jan-1~+01-18-00,2513.264896976687,0.0
mag-jan-1~+01-19-00,2596.576402618405,0.0
mag-jan-1~+01-20-00,2588.9239838340673,0.0
mag-jan-1~+01-21-00,2587.248420590563,0.0
mag-jan-1~+01-22-00,2596.985602813008,0.0
mag-jan-1~+01-23-00,2521.87950688166,0.0
mag-jan-1~+02-00-00,2500.448031265889,0.0
mag-jan-1~+02-01-00,2533.215477221039,0.0
mag-jan-1~+02-02-00,2541.7373840112214,0.0
mag-jan-1~+02-03-00,2549.8072717090854,0.0
mag-jan-1~+02-04-00,2610.856010190428,0.0
mag-jan-1~+02-05-00,2661.4818061127667,0.0
mag-jan-1~+02-06-00,2668.8667609794475,0.0
mag-jan-1~+02-07-00,2674.1419929494045,0.0
mag-jan-1~+02-08-00,2647.4747483760634,0.0
mag-jan-1~+02-09-00,2586.197230210364,0.0
mag-jan-1~+02-10-00,2557.8096069655667,0.0
mag-jan-1~+02-11-00,2588.098718751285,0.0
mag-jan-1~+02-12-00,2639.9031381189498,0.0
mag-jan-1~+02-13-00,2680.0518732458477,0.0
mag-jan-1~+02-14-00,2739.431734900281,0.0
mag-jan-1~+02-15-00,2746.6903841564836,0.0
mag-jan-1~+02-16-00,2704.063398356965,0.0
mag-jan-1~+02-17-00,2664.4413070553605,0.0
mag-jan-1~+02-18-00,2651.1860239718512,0.0
mag-jan-1~+02-19-00,2653.8783031186867,0.0
mag-jan-1~+02-20-00,2675.445632177443,0.0
mag-jan-1~+02-21-00,2731.4434636692713,0.0
mag-jan-1~+02-22-00,2758.9774715646627,0.0
mag-jan-1~+02-23-00,2759.6905214395965,0.0
mag-jan-1~+03-00-00,2727.4559608655845,0.0
mag-jan-1~+03-01-00,2699.329339778781,0.0
mag-jan-1~+03-02-00,2689.18310185908,0.0
mag-jan-1~+03-03-00,2697.852868584757,0.0
mag-jan-1~+03-04-00,2699.83292157278,0.0
mag-jan-1~+03-05-00,2709.077862507649,0.0
mag-jan-1~+03-06-00,2744.795848954782,0.0
mag-jan-1~+03-07-00,2784.380121997724,0.0
mag-jan-1~+03-08-00,2764.241901312825,0.0
mag-jan-1~+03-09-00,2761.6314884094436,0.0
mag-jan-1~+03-10-00,2788.464430408395,0.0
mag-jan-1~+03-11-00,2792.6154574222087,0.0
mag-jan-1~+03-12-00,2859.9946092004184,0.0
mag-jan-1~+03-13-00,2919.4711365649723,0.0
mag-jan-1~+03-14-00,2932.629607760633,0.0
mag-jan-1~+03-15-00,2965.1384820424773,0.0
mag-jan-1~+03-16-00,2980.148087989548,0.0
mag-jan-1~+03-17-00,2971.039317312486,0.0
mag-jan-1~+03-18-00,3030.046266012093,0.0
mag-jan-1~+03-19-00,3070.7433017937183,0.0
mag-jan-1~+03-20-00,3081.9525957914357,0.0
mag-jan-1~+03-21-00,3120.5427947633852,0.0
mag-jan-1~+03-22-00,3083.1269503438434,0.0
mag-jan-1~+03-23-00,3045.4320281109376,0.0
mag-jan-1~+04-00-00,3025.6220370959504,0.0
