trace,op_ems,emb_ems
mag-jul-1,4897.485732823809,0.0
mag-jul-1~+00-01-00,4886.450670403534,0.0
mag-jul-1~+00-02-00,4927.206161984208,0.0
mag-jul-1~+00-03-00,4933.88088278797,0.0
mag-jul-1~+00-04-00,4937.725640020539,0.0
mag-jul-1~+00-05-00,4910.518573979616,0.0
mag-jul-1~+00-06-00,4883.0757129913245,0.0
mag-jul-1~+00-07-00,4862.615229920194,0.0
mag-jul-1~+00-08-00,4877.622979730676,0.0
mag-jul-1~+00-09-00,4835.8273964120635,0.0
mag-jul-1~+00-10-00,4774.849386353632,0.0
mag-jul-1~+00-11-00,4760.981632281853,0.0
mag-jul-1~+00-12-00,4705.281389989974,0.0
mag-jul-1~+00-13-00,4704.677691677523,0.0
mag-jul-1~+00-14-00,4687.265683692725,0.0
mag-jul-1~+00-15-00,4649.634008938214,0.0
mag-jul-1~+00-16-00,4643.204414708687,0.0
mag-jul-1~+00-17-00,4633.106797538084,0.0
mag-jul-1~+00-18-00,4666.808344101765,0.0
mag-jul-1~+00-19-00,4700.498080860636,0.0
mag-jul-1~+00-20-00,4715.300920675088,0.0
mag-jul-1~+00-21-00,4756.226025860187,0.0
mag-jul-1~+00-22-00,4831.450866811239,0.0
mag-jul-1~+00-23-00,4873.792962766378,0.0
mag-jul-1~+01-00-00,4913.5396105963755,0.0
mag-jul-1~+01-01-00,4902.178888655169,0.0
mag-jul-1~+01-02-00,4933.853982664543,0.0
mag-jul-1~+01-03-00,4909.781930841476,0.0
mag-jul-1~+01-04-00,4871.445149773633,0.0
mag-jul-1~+01-05-00,4885.622773209763,0.0
mag-jul-1~+01-06-00,4916.793010255784,0.0
mag-jul-1~+01-07-00,4926.5789777680075,0.0
mag-jul-1~+01-08-00,4927.284479192119,0.0
mag-jul-1~+01-09-00,4881.661562133615,0.0
mag-jul-1~+01-10-00,4830.197621516896,0.0
mag-jul-1~+01-11-00,4739.570126801773,0.0
mag-jul-1~+01-12-00,4691.395636853003,0.0
mag-jul-1~+01-13-00,4668.6158863812025,0.0
mag-jul-1~+01-14-00,4633.880806449972,0.0
mag-jul-1~+01-15-00,4609.7708778301785,0.0
mag-jul-1~+01-16-00,4649.663671891417,0.0
mag-jul-1~+01-17-00,4696.355992528663,0.0
mag-jul-1~+01-18-00,4706.194041890687,0.0
mag-jul-1~+01-19-00,4687.315741745023,0.0
mag-jul-1~+01-20-00,4679.974013409998,0.0
mag-jul-1~+01-21-00,4716.7704224510735,0.0
mag-jul-1~+01-22-00,4722.559372006988,0.0
mag-jul-1~+01-23-00,4755.679565634287,0.0
mag-jul-1~+02-00-00,4838.179332753501,0.0
mag-jul-1~+02-01-00,4906.139613216069,0.0
mag-jul-1~+02-02-00,4936.519085504818,0.0
mag-jul-1~+02-03-00,4924.646698193279,0.0
mag-jul-1~+02-04-00,4893.896342648075,0.0
mag-jul-1~+02-05-00,4852.980924661597,0.0
mag-jul-1~+02-06-00,4842.977908811458,0.0
mag-jul-1~+02-07-00,4871.680803324507,0.0
mag-jul-1~+02-08-00,4867.285499223368,0.0
mag-jul-1~+02-09-00,4848.567554198,0.0
mag-jul-1~+02-10-00,4793.822144308257,0.0
mag-jul-1~+02-11-00,4786.098397730331,0.0
mag-jul-1~+02-12-00,4775.546362030867,0.0
mag-jul-1~+02-13-00,4767.7699837339405,0.0
mag-jul-1~+02-14-00,4740.077399493457,0.0
mag-jul-1~+02-15-00,4700.075935620012,0.0
mag-jul-1~+02-16-00,4642.266306751235,0.0
mag-jul-1~+02-17-00,4666.703502636793,0.0
mag-jul-1~+02-18-00,4678.882592485215,0.0
mag-jul-1~+02-19-00,4709.691073669217,0.0
mag-jul-1~+02-20-00,4770.890533739754,0.0
mag-jul-1~+02-21-00,4797.415063399096,0.0
mag-jul-1~+02-22-00,4830.504494153926,0.0
mag-jul-1~+02-23-00,4857.89856159561,0.0
mag-jul-1~+03-00-00,4868.018208797765,0.0
mag-jul-1~+03-01-00,4861.383472866179,0.0
mag-jul-1~+03-02-00,4887.879418714637,0.0
mag-jul-1~+03-03-00,4940.16291248969,0.0
mag-jul-1~+03-04-00,4902.685857561227,0.0
mag-jul-1~+03-05-00,4888.4548850869505,0.0
mag-jul-1~+03-06-00,4910.677355754962,0.0
mag-jul-1~+03-07-00,4857.783811406095,0.0
mag-jul-1~+03-08-00,4866.172044098621,0.0
mag-jul-1~+03-09-00,4834.38617393231,0.0
mag-jul-1~+03-10-00,4797.202067713335,0.0
mag-jul-1~+03-11-00,4798.488147886192,0.0
mag-jul-1~+03-12-00,4747.168313717586,0.0
mag-jul-1~+03-13-00,4763.796295020219,0.0
mag-jul-1~+03-14-00,4715.265010236741,0.0
mag-jul-1~+03-15-00,4658.634965445066,0.0
mag-jul-1~+03-16-00,4645.677572444368,0.0
mag-jul-1~+03-17-00,4671.886574529541,0.0
mag-jul-1~+03-18-00,4674.853154820581,0.0
mag-jul-1~+03-19-00,4701.28740965732,0.0
mag-jul-1~+03-20-00,4757.927685523155,0.0
mag-jul-1~+03-21-00,4809.270859908698,0.0
mag-jul-1~+03-22-00,4787.505047647105,0.0
mag-jul-1~+03-23-00,4779.999608871499,0.0
mag-jul-1~+04-00-00,4807.175120606851,0.0
