trace,op_ems,emb_ems
mag-jul-1,4890.882729496383,0.0
mag-jul-1~+00-01-00,4912.767249007152,0.0
mag-jul-1~+00-02-00,4925.002203959739,0.0
mag-jul-1~+00-03-00,4930.975332767607,0.0
mag-jul-1~+00-04-00,4922.443302458576,0.0
mag-jul-1~+00-05-00,4905.1611651217445,0.0
mag-jul-1~+00-06-00,4886.351976906511,0.0
mag-jul-1~+00-07-00,4882.259630922799,0.0
mag-jul-1~+00-08-00,4885.025339224679,0.0
mag-jul-1~+00-09-00,4853.024250354019,0.0
mag-jul-1~+00-10-00,4841.175302872025,0.0
mag-jul-1~+00-11-00,4817.625576445906,0.0
mag-jul-1~+00-12-00,4768.314169622501,0.0
mag-jul-1~+00-13-00,4723.461428096424,0.0
mag-jul-1~+00-14-00,4672.15746074328,0.0
mag-jul-1~+00-15-00,4633.566443032066,0.0
mag-jul-1~+00-16-00,4633.021445798183,0.0
mag-jul-1~+00-17-00,4668.493561988058,0.0
mag-jul-1~+00-18-00,4688.7349777375875,0.0
mag-jul-1~+00-19-00,4707.694274136222,0.0
mag-jul-1~+00-20-00,4728.474264656248,0.0
mag-jul-1~+00-21-00,4780.547207914354,0.0
mag-jul-1~+00-22-00,4813.3563837595275,0.0
mag-jul-1~+00-23-00,4826.980571904912,0.0
mag-jul-1~+01-00-00,4872.3900546955865,0.0
mag-jul-1~+01-01-00,4890.9825360301775,0.0
mag-jul-1~+01-02-00,4913.162974132441,0.0
mag-jul-1~+01-03-00,4942.808402935017,0.0
mag-jul-1~+01-04-00,4938.954762257521,0.0
mag-jul-1~+01-05-00,4927.205083532932,0.0
mag-jul-1~+01-06-00,4906.176148816354,0.0
mag-jul-1~+01-07-00,4879.354275466326,0.0
mag-jul-1~+01-08-00,4878.86267884648,0.0
mag-jul-1~+01-09-00,4857.405718598521,0.0
mag-jul-1~+01-10-00,4815.439942134471,0.0
mag-jul-1~+01-11-00,4769.366258699267,0.0
mag-jul-1~+01-12-00,4721.663616950205,0.0
mag-jul-1~+01-13-00,4688.493473494416,0.0
mag-jul-1~+01-14-00,4652.216839072315,0.0
mag-jul-1~+01-15-00,4611.921067911139,0.0
mag-jul-1~+01-16-00,4608.6796243525505,0.0
mag-jul-1~+01-17-00,4626.05020007008,0.0
mag-jul-1~+01-18-00,4644.679899342478,0.0
mag-jul-1~+01-19-00,4663.003599692378,0.0
mag-jul-1~+01-20-00,4681.5878985450545,0.0
mag-jul-1~+01-21-00,4714.184291106922,0.0
mag-jul-1~+01-22-00,4750.887850288911,0.0
mag-jul-1~+01-23-00,4786.048552549884,0.0
mag-jul-1~+02-00-00,4835.786439211019,0.0
mag-jul-1~+02-01-00,4879.011332001038,0.0
mag-jul-1~+02-02-00,4890.939697782656,0.0
mag-jul-1~+02-03-00,4900.516649286381,0.0
mag-jul-1~+02-04-00,4888.9946694319315,0.0
mag-jul-1~+02-05-00,4862.684905186979,0.0
mag-jul-1~+02-06-00,4845.870734801943,0.0
mag-jul-1~+02-07-00,4838.438663034349,0.0
mag-jul-1~+02-08-00,4838.705035974857,0.0
mag-jul-1~+02-09-00,4819.45992416099,0.0
mag-jul-1~+02-10-00,4786.846230218705,0.0
mag-jul-1~+02-11-00,4768.149153014235,0.0
mag-jul-1~+02-12-00,4725.5592717900945,0.0
mag-jul-1~+02-13-00,4678.770674515852,0.0
mag-jul-1~+02-14-00,4647.654465077036,0.0
mag-jul-1~+02-15-00,4616.782907227382,0.0
mag-jul-1~+02-16-00,4622.920960347279,0.0
mag-jul-1~+02-17-00,4646.362435833609,0.0
mag-jul-1~+02-18-00,4665.4583633549755,0.0
mag-jul-1~+02-19-00,4683.454839629266,0.0
mag-jul-1~+02-20-00,4702.495076092702,0.0
mag-jul-1~+02-21-00,4750.99778485759,0.0
mag-jul-1~+02-22-00,4803.311188427121,0.0
mag-jul-1~+02-23-00,4838.997019751265,0.0
mag-jul-1~+03-00-00,4889.699414992354,0.0
mag-jul-1~+03-01-00,4900.372686741083,0.0
mag-jul-1~+03-02-00,4897.995094173105,0.0
mag-jul-1~+03-03-00,4901.055631539733,0.0
mag-jul-1~+03-04-00,4891.323385071179,0.0
mag-jul-1~+03-05-00,4883.174988771907,0.0
mag-jul-1~+03-06-00,4876.7228686734925,0.0
mag-jul-1~+03-07-00,4861.8810247026895,0.0
mag-jul-1~+03-08-00,4855.179270954348,0.0
mag-jul-1~+03-09-00,4823.727247815264,0.0
mag-jul-1~+03-10-00,4814.125353022162,0.0
mag-jul-1~+03-11-00,4792.205415401272,0.0
mag-jul-1~+03-12-00,4741.708500382882,0.0
mag-jul-1~+03-13-00,4710.735743385825,0.0
mag-jul-1~+03-14-00,4675.684047471164,0.0
mag-jul-1~+03-15-00,4632.7019679387495,0.0
mag-jul-1~+03-16-00,4637.643851703479,0.0
mag-jul-1~+03-17-00,4673.573501621193,0.0
mag-jul-1~+03-18-00,4688.623586978916,0.0
mag-jul-1~+03-19-00,4687.944364770699,0.0
mag-jul-1~+03-20-00,4699.462815620338,0.0
mag-jul-1~+03-21-00,4747.614108547146,0.0
mag-jul-1~+03-22-00,4762.429139440812,0.0
mag-jul-1~+03-23-00,4768.853924734217,0.0
mag-jul-1~+04-00-00,4809.344158108974,0.0
