trace,op_ems,emb_ems
mag-jul-3,1816.3876958924807,0.0
mag-jul-3~+00-01-00,1857.7138358386578,0.0
mag-jul-3~+00-02-00,1877.1618907128343,0.0
mag-jul-3~+00-03-00,1845.5037731123325,0.0
mag-jul-3~+00-04-00,1761.1664506046782,0.0
mag-jul-3~+00-05-00,1647.1379395647546,0.0
mag-jul-3~+00-06-00,1583.9166806316057,0.0
mag-jul-3~+00-07-00,1532.9656831287707,0.0
mag-jul-3~+00-08-00,1464.069898908676,0.0
mag-jul-3~+00-09-00,1387.1083189194226,0.0
mag-jul-3~+00-10-00,1306.2874211922715,0.0
mag-jul-3~+00-11-00,1157.4940692861194,0.0
mag-jul-3~+00-12-00,1038.942828666145,0.0
mag-jul-3~+00-13-00,945.6498744669474,0.0
mag-jul-3~+00-14-00,856.2049552339345,0.0
mag-jul-3~+00-15-00,789.5134273214871,0.0
mag-jul-3~+00-16-00,754.6813547351524,0.0
mag-jul-3~+00-17-00,742.8203265041782,0.0
mag-jul-3~+00-18-00,737.3742997589993,0.0
mag-jul-3~+00-19-00,749.9895814611052,0.0
mag-jul-3~+00-20-00,773.3191263108482,0.0
mag-jul-3~+00-21-00,823.2795659708565,0.0
mag-jul-3~+00-22-00,902.3575710264452,0.0
mag-jul-3~+00-23-00,972.6221793242123,0.0
mag-jul-3~+01-00-00,1037.6871199076081,0.0
mag-jul-3~+01-01-00,1049.0787718144893,0.0
mag-jul-3~+01-02-00,1031.6405410472862,0.0
mag-jul-3~+01-03-00,995.8326295911386,0.0
mag-jul-3~+01-04-00,962.1371605128015,0.0
mag-jul-3~+01-05-00,939.9578366740725,0.0
mag-jul-3~+01-06-00,950.4720175446072,0.0
mag-jul-3~+01-07-00,976.9113972663022,0.0
mag-jul-3~+01-08-00,997.8619791842974,0.0
mag-jul-3~+01-09-00,983.4822042090864,0.0
mag-jul-3~+01-10-00,922.7253611173045,0.0
mag-jul-3~+01-11-00,866.6763733629198,0.0
mag-jul-3~+01-12-00,830.463351224878,0.0
mag-jul-3~+01-13-00,774.84368779984,0.0
mag-jul-3~+01-14-00,707.4576429414047,0.0
mag-jul-3~+01-15-00,664.1247754428076,0.0
mag-jul-3~+01-16-00,645.5660335275287,0.0
mag-jul-3~+01-17-00,614.3703447695578,0.0
mag-jul-3~+01-18-00,587.1772359916957,0.0
mag-jul-3~+01-19-00,618.3723514561752,0.0
mag-jul-3~+01-20-00,673.0319313919035,0.0
mag-jul-3~+01-21-00,707.5298085245358,0.0
mag-jul-3~+01-22-00,768.572058647931,0.0
mag-jul-3~+01-23-00,840.5806122489788,0.0
mag-jul-3~+02-00-00,875.3191989072423,0.0
mag-jul-3~+02-01-00,942.3412535263186,0.0
mag-jul-3~+02-02-00,996.4049585551218,0.0
mag-jul-3~+02-03-00,1011.2265413463049,0.0
mag-jul-3~+02-04-00,1036.7045558399564,0.0
mag-jul-3~+02-05-00,1088.7909796496967,0.0
mag-jul-3~+02-06-00,1154.2665813784383,0.0
mag-jul-3~+02-07-00,1222.2352890997201,0.0
mag-jul-3~+02-08-00,1299.921442504884,0.0
mag-jul-3~+02-09-00,1338.4981665934126,0.0
mag-jul-3~+02-10-00,1357.9909901248338,0.0
mag-jul-3~+02-11-00,1371.680470766155,0.0
mag-jul-3~+02-12-00,1370.250004339405,0.0
mag-jul-3~+02-13-00,1360.516827111509,0.0
mag-jul-3~+02-14-00,1291.0153709405172,0.0
mag-jul-3~+02-15-00,1288.9347505321302,0.0
mag-jul-3~+02-16-00,1306.7148055748771,0.0
mag-jul-3~+02-17-00,1311.6040842192929,0.0
mag-jul-3~+02-18-00,1320.6020633358585,0.0
mag-jul-3~+02-19-00,1335.100112731456,0.0
mag-jul-3~+02-20-00,1368.727159358815,0.0
mag-jul-3~+02-21-00,1408.8536225675227,0.0
mag-jul-3~+02-22-00,1469.179969724276,0.0
mag-jul-3~+02-23-00,1524.6196189498216,0.0
mag-jul-3~+03-00-00,1571.7406793935486,0.0
mag-jul-3~+03-01-00,1595.3518051053047,0.0
mag-jul-3~+03-02-00,1598.1727613149262,0.0
mag-jul-3~+03-03-00,1591.1840833775414,0.0
mag-jul-3~+03-04-00,1559.0396086929768,0.0
mag-jul-3~+03-05-00,1529.4198508781476,0.0
mag-jul-3~+03-06-00,1520.928327313884,0.0
mag-jul-3~+03-07-00,1538.4111967683011,0.0
mag-jul-3~+03-08-00,1557.8917506517778,0.0
mag-jul-3~+03-09-00,1523.6059443563975,0.0
mag-jul-3~+03-10-00,1487.0856773843598,0.0
mag-jul-3~+03-11-00,1453.8539425295326,0.0
mag-jul-3~+03-12-00,1384.0484469645637,0.0
mag-jul-3~+03-13-00,1343.3846610468383,0.0
mag-jul-3~+03-14-00,1270.5401699559802,0.0
mag-jul-3~+03-15-00,1203.5831900254489,0.0
mag-jul-3~+03-16-00,1190.7419147321925,0.0
mag-jul-3~+03-17-00,1172.8376197672853,0.0
mag-jul-3~+03-18-00,1156.71454628858,0.0
mag-jul-3~+03-19-00,1179.8407645784519,0.0
mag-jul-3~+03-20-00,1206.7794880045576,0.0
mag-jul-3~+03-21-00,1224.2904218019053,0.0
mag-jul-3~+03-22-00,1251.7235349680154,0.0
mag-jul-3~+03-23-00,1233.5845497793666,0.0
mag-jul-3~+04-00-00,1216.1261946141922,0.0
