trace,op_ems,emb_ems
mag-jun-2,4754.2608179391445,0.0
mag-jun-2~+00-01-00,4772.228997845485,0.0
mag-jun-2~+00-02-00,4798.383439993863,0.0
mag-jun-2~+00-03-00,4817.398958740216,0.0
mag-jun-2~+00-04-00,4790.273416598873,0.0
mag-jun-2~+00-05-00,4795.334893665257,0.0
mag-jun-2~+00-06-00,4800.063338108895,0.0
mag-jun-2~+00-07-00,4839.333345771099,0.0
mag-jun-2~+00-08-00,4847.776342164195,0.0
mag-jun-2~+00-09-00,4823.2909713043555,0.0
mag-jun-2~+00-10-00,4773.706859917022,0.0
mag-jun-2~+00-11-00,4746.239852816511,0.0
mag-jun-2~+00-12-00,4710.2097497754585,0.0
mag-jun-2~+00-13-00,4791.670849321883,0.0
mag-jun-2~+00-14-00,4757.470118473152,0.0
mag-jun-2~+00-15-00,4709.124069365456,0.0
mag-jun-2~+00-16-00,4619.507571832292,0.0
mag-jun-2~+00-17-00,4647.724477738471,0.0
mag-jun-2~+00-18-00,4633.858442388044,0.0
mag-jun-2~+00-19-00,4658.434933598273,0.0
mag-jun-2~+00-20-00,4665.23488865703,0.0
mag-jun-2~+00-21-00,4678.932714037929,0.0
mag-jun-2~+00-22-00,4723.508709865609,0.0
mag-jun-2~+00-23-00,4735.47139506409,0.0
mag-jun-2~+01-00-00,4765.485327736363,0.0
mag-jun-2~+01-01-00,4799.437929025762,0.0
mag-jun-2~+01-02-00,4795.725854012551,0.0
mag-jun-2~+01-03-00,4846.295291115892,0.0
mag-jun-2~+01-04-00,4919.714532412225,0.0
mag-jun-2~+01-05-00,4909.456940644139,0.0
mag-jun-2~+01-06-00,4920.894289065346,0.0
mag-jun-2~+01-07-00,4877.9729434328065,0.0
mag-jun-2~+01-08-00,4845.07985797254,0.0
mag-jun-2~+01-09-00,4826.062347875719,0.0
mag-jun-2~+01-10-00,4777.510887600787,0.0
mag-jun-2~+01-11-00,4770.3130255340875,0.0
mag-jun-2~+01-12-00,4722.842035157768,0.0
mag-jun-2~+01-13-00,4760.468120333126,0.0
mag-jun-2~+01-14-00,4728.180504667122,0.0
mag-jun-2~+01-15-00,4673.295088817811,0.0
mag-jun-2~+01-16-00,4620.423128920525,0.0
mag-jun-2~+01-17-00,4612.398528634958,0.0
mag-jun-2~+01-18-00,4612.758294185274,0.0
mag-jun-2~+01-19-00,4635.295885564438,0.0
mag-jun-2~+01-20-00,4728.292323530152,0.0
mag-jun-2~+01-21-00,4788.039885900746,0.0
mag-jun-2~+01-22-00,4796.016086470543,0.0
mag-jun-2~+01-23-00,4789.50240309315,0.0
mag-jun-2~+02-00-00,4758.315291815834,0.0
mag-jun-2~+02-01-00,4794.98285652312,0.0
mag-jun-2~+02-02-00,4858.47087910348,0.0
mag-jun-2~+02-03-00,4895.084719737581,0.0
mag-jun-2~+02-04-00,4928.415271275718,0.0
mag-jun-2~+02-05-00,4899.788814891916,0.0
mag-jun-2~+02-06-00,4841.398090832611,0.0
mag-jun-2~+02-07-00,4843.201005041912,0.0
mag-jun-2~+02-08-00,4805.717761626691,0.0
mag-jun-2~+02-09-00,4775.789651872334,0.0
mag-jun-2~+02-10-00,4755.074502123229,0.0
mag-jun-2~+02-11-00,4726.235423755877,0.0
mag-jun-2~+02-12-00,4663.975676955164,0.0
mag-jun-2~+02-13-00,4647.346129806407,0.0
mag-jun-2~+02-14-00,4574.855374123701,0.0
mag-jun-2~+02-15-00,4495.39354846569,0.0
mag-jun-2~+02-16-00,4502.862136877036,0.0
mag-jun-2~+02-17-00,4532.080889734265,0.0
mag-jun-2~+02-18-00,4552.110237696087,0.0
mag-jun-2~+02-19-00,4556.3731892197375,0.0
mag-jun-2~+02-20-00,4492.980303955454,0.0
mag-jun-2~+02-21-00,4511.935199378025,0.0
mag-jun-2~+02-22-00,4554.373699673604,0.0
mag-jun-2~+02-23-00,4615.349809245756,0.0
mag-jun-2~+03-00-00,4689.007574938931,0.0
mag-jun-2~+03-01-00,4701.514518761644,0.0
mag-jun-2~+03-02-00,4721.3870020537515,0.0
mag-jun-2~+03-03-00,4777.278148266085,0.0
mag-jun-2~+03-04-00,4747.942326674037,0.0
mag-jun-2~+03-05-00,4708.328378034457,0.0
mag-jun-2~+03-06-00,4678.06590456421,0.0
mag-jun-2~+03-07-00,4678.03113316355,0.0
mag-jun-2~+03-08-00,4679.283538983591,0.0
mag-jun-2~+03-09-00,4692.205281102886,0.0
mag-jun-2~+03-10-00,4629.530470029025,0.0
mag-jun-2~+03-11-00,4606.036363901341,0.0
mag-jun-2~+03-12-00,4593.139874131965,0.0
mag-jun-2~+03-13-00,4580.284854142776,0.0
mag-jun-2~+03-14-00,4571.336209198375,0.0
mag-jun-2~+03-15-00,4466.797241096024,0.0
mag-jun-2~+03-16-00,4476.305530352327,0.0
mag-jun-2~+03-17-00,4479.49652896318,0.0
mag-jun-2~+03-18-00,4544.224864910868,0.0
mag-jun-2~+03-19-00,4562.897190877637,0.0
mag-jun-2~+03-20-00,4592.785435008944,0.0
mag-jun-2~+03-21-00,4599.591375144458,0.0
mag-jun-2~+03-22-00,4665.960750475033,0.0
mag-jun-2~+03-23-00,4686.056724036826,0.0
mag-jun-2~+04-00-00,4738.505622069033,0.0
