trace,op_ems,emb_ems
mag-may-3,1071.8429832941913,0.0
mag-may-3~+00-01-00,1083.887496556044,0.0
mag-may-3~+00-02-00,1071.7981845097174,0.0
mag-may-3~+00-03-00,1065.2543683254553,0.0
mag-may-3~+00-04-00,1061.699318371081,0.0
mag-may-3~+00-05-00,1030.4980810253292,0.0
mag-may-3~+00-06-00,995.534490889801,0.0
mag-may-3~+00-07-00,978.7567996362724,0.0
mag-may-3~+00-08-00,945.6482049351059,0.0
mag-may-3~+00-09-00,900.6125776676777,0.0
mag-may-3~+00-10-00,876.2849035627869,0.0
mag-may-3~+00-11-00,913.8981600731954,0.0
mag-may-3~+00-12-00,940.6103728423908,0.0
mag-may-3~+00-13-00,949.2404571439776,0.0
mag-may-3~+00-14-00,922.653572460985,0.0
mag-may-3~+00-15-00,874.2556335827369,0.0
mag-may-3~+00-16-00,838.7306401533012,0.0
mag-may-3~+00-17-00,845.0675469699685,0.0
mag-may-3~+00-18-00,891.1971832063327,0.0
mag-may-3~+00-19-00,944.8209622520991,0.0
mag-may-3~+00-20-00,1034.367428575345,0.0
mag-may-3~+00-21-00,1175.494714171322,0.0
mag-may-3~+00-22-00,1314.605570112083,0.0
mag-may-3~+00-23-00,1374.02841019097,0.0
mag-may-3~+01-00-00,1393.7733266779064,0.0
mag-may-3~+01-01-00,1421.3278063146258,0.0
mag-may-3~+01-02-00,1415.624378178435,0.0
mag-may-3~+01-03-00,1416.608419967681,0.0
mag-may-3~+01-04-00,1428.039509106626,0.0
mag-may-3~+01-05-00,1455.7934366486402,0.0
mag-may-3~+01-06-00,1474.0799397637925,0.0
mag-may-3~+01-07-00,1498.2647954676504,0.0
mag-may-3~+01-08-00,1544.8483075253018,0.0
mag-may-3~+01-09-00,1572.5470297238521,0.0
mag-may-3~+01-10-00,1549.436749205445,0.0
mag-may-3~+01-11-00,1533.9422543017483,0.0
mag-may-3~+01-12-00,1538.78550346686,0.0
mag-may-3~+01-13-00,1506.500026360547,0.0
mag-may-3~+01-14-00,1487.923001698403,0.0
mag-may-3~+01-15-00,1482.2545113953038,0.0
mag-may-3~+01-16-00,1488.485117379067,0.0
mag-may-3~+01-17-00,1489.779017643542,0.0
mag-may-3~+01-18-00,1488.1647404134874,0.0
mag-may-3~+01-19-00,1514.9979847023867,0.0
mag-may-3~+01-20-00,1562.713661082233,0.0
mag-may-3~+01-21-00,1560.4398953936739,0.0
mag-may-3~+01-22-00,1590.0125019823802,0.0
mag-may-3~+01-23-00,1665.5442645109445,0.0
mag-may-3~+02-00-00,1723.4409444134299,0.0
mag-may-3~+02-01-00,1717.5088426212178,0.0
mag-may-3~+02-02-00,1729.6606664904734,0.0
mag-may-3~+02-03-00,1720.934906668235,0.0
mag-may-3~+02-04-00,1748.1927589018355,0.0
mag-may-3~+02-05-00,1787.4925498191642,0.0
mag-may-3~+02-06-00,1821.8868410282455,0.0
mag-may-3~+02-07-00,1874.5206396010385,0.0
mag-may-3~+02-08-00,1920.4560389288006,0.0
mag-may-3~+02-09-00,1965.0325987615997,0.0
mag-may-3~+02-10-00,2001.5155841035457,0.0
mag-may-3~+02-11-00,2010.017368780086,0.0
mag-may-3~+02-12-00,1984.7725906101564,0.0
mag-may-3~+02-13-00,1926.9834285728325,0.0
mag-may-3~+02-14-00,1906.8468335712191,0.0
mag-may-3~+02-15-00,1865.188452354314,0.0
mag-may-3~+02-16-00,1855.9219564483142,0.0
mag-may-3~+02-17-00,1834.7548421080576,0.0
mag-may-3~+02-18-00,1784.9476254940378,0.0
mag-may-3~+02-19-00,1745.548028315903,0.0
mag-may-3~+02-20-00,1764.1944953734703,0.0
mag-may-3~+02-21-00,1771.1336481898197,0.0
mag-may-3~+02-22-00,1760.2414398562455,0.0
mag-may-3~+02-23-00,1775.068943289586,0.0
mag-may-3~+03-00-00,1776.686901005399,0.0
mag-may-3~+03-01-00,1795.005768130909,0.0
mag-may-3~+03-02-00,1789.0718343366475,0.0
mag-may-3~+03-03-00,1754.8071398375787,0.0
mag-may-3~+03-04-00,1728.6759362984906,0.0
mag-may-3~+03-05-00,1702.5520121288678,0.0
mag-may-3~+03-06-00,1714.0018204485027,0.0
mag-may-3~+03-07-00,1773.3910801717466,0.0
mag-may-3~+03-08-00,1828.2581963400262,0.0
mag-may-3~+03-09-00,1826.093936965368,0.0
mag-may-3~+03-10-00,1828.5999497942075,0.0
mag-may-3~+03-11-00,1824.2057780539092,0.0
mag-may-3~+03-12-00,1812.7106150572681,0.0
mag-may-3~+03-13-00,1767.7981658528215,0.0
mag-may-3~+03-14-00,1673.4814932965394,0.0
mag-may-3~+03-15-00,1564.758131470111,0.0
mag-may-3~+03-16-00,1508.5260462746455,0.0
mag-may-3~+03-17-00,1496.0554833408391,0.0
mag-may-3~+03-18-00,1500.2415406850275,0.0
mag-may-3~+03-19-00,1522.66789877387,0.0
mag-may-3~+03-20-00,1510.6689156963453,0.0
mag-may-3~+03-21-00,1535.6359129854877,0.0
mag-may-3~+03-22-00,1560.8931473229613,0.0
mag-may-3~+03-23-00,1569.3109372976692,0.0
mag-may-3~+04-00-00,1587.376892053473,0.0
