trace,op_ems,emb_ems
mag-sep-2,751.585594267797,0.0
mag-sep-2~+00-01-00,703.6394165887382,0.0
mag-sep-2~+00-02-00,646.4734285549862,0.0
mag-sep-2~+00-03-00,637.1267650053446,0.0
mag-sep-2~+00-04-00,687.0440717313573,0.0
mag-sep-2~+00-05-00,691.685584124464,0.0
mag-sep-2~+00-06-00,765.8202657095796,0.0
mag-sep-2~+00-07-00,821.2745650471704,0.0
mag-sep-2~+00-08-00,812.5739634764097,0.0
mag-sep-2~+00-09-00,866.3572527113787,0.0
mag-sep-2~+00-10-00,876.7441859387197,0.0
mag-sep-2~+00-11-00,835.7946325582836,0.0
mag-sep-2~+00-12-00,819.4932981724551,0.0
mag-sep-2~+00-13-00,781.9331954969442,0.0
mag-sep-2~+00-14-00,714.9228677499284,0.0
mag-sep-2~+00-15-00,691.2325281140504,0.0
mag-sep-2~+00-16-00,668.0972026368611,0.0
mag-sep-2~+00-17-00,652.4890904434628,0.0
mag-sep-2~+00-18-00,638.7649057817291,0.0
mag-sep-2~+00-19-00,635.001814574774,0.0
mag-sep-2~+00-20-00,635.1705339028019,0.0
mag-sep-2~+00-21-00,593.5965801986526,0.0
mag-sep-2~+00-22-00,560.0195700089895,0.0
mag-sep-2~+00-23-00,577.4016237486502,0.0
mag-sep-2~+01-00-00,556.0938863762035,0.0
mag-sep-2~+01-01-00,531.455929088067,0.0
mag-sep-2~+01-02-00,556.9302872449564,0.0
mag-sep-2~+01-03-00,513.3894546366449,0.0
mag-sep-2~+01-04-00,470.6983390476797,0.0
mag-sep-2~+01-05-00,480.39731161511463,0.0
mag-sep-2~+01-06-00,475.99202078713836,0.0
mag-sep-2~+01-07-00,526.1904843355917,0.0
mag-sep-2~+01-08-00,531.4934084894123,0.0
mag-sep-2~+01-09-00,513.0908754852143,0.0
mag-sep-2~+01-10-00,454.8062402362384,0.0
mag-sep-2~+01-11-00,404.0961557593173,0.0
mag-sep-2~+01-12-00,439.2827419097569,0.0
mag-sep-2~+01-13-00,428.5960546297358,0.0
mag-sep-2~+01-14-00,447.95107132914734,0.0
mag-sep-2~+01-15-00,498.65765890577694,0.0
mag-sep-2~+01-16-00,535.570823215547,0.0
mag-sep-2~+01-17-00,578.4054391784891,0.0
mag-sep-2~+01-18-00,526.5131333572531,0.0
mag-sep-2~+01-19-00,506.5304435384159,0.0
mag-sep-2~+01-20-00,486.10617345067044,0.0
mag-sep-2~+01-21-00,527.4849980420831,0.0
mag-sep-2~+01-22-00,640.7353242266615,0.0
mag-sep-2~+01-23-00,741.0992752237883,0.0
mag-sep-2~+02-00-00,812.4224927683748,0.0
mag-sep-2~+02-01-00,846.3147518252221,0.0
mag-sep-2~+02-02-00,843.8947190627864,0.0
mag-sep-2~+02-03-00,806.1151721430857,0.0
mag-sep-2~+02-04-00,770.7682687131656,0.0
mag-sep-2~+02-05-00,780.5021426336551,0.0
mag-sep-2~+02-06-00,795.4826640249494,0.0
mag-sep-2~+02-07-00,876.4231029288208,0.0
mag-sep-2~+02-08-00,895.5837785212462,0.0
mag-sep-2~+02-09-00,880.7917403168799,0.0
mag-sep-2~+02-10-00,863.6224139750682,0.0
mag-sep-2~+02-11-00,809.9537115220842,0.0
mag-sep-2~+02-12-00,810.1172914549263,0.0
mag-sep-2~+02-13-00,801.5047662043106,0.0
mag-sep-2~+02-14-00,870.7944113833985,0.0
mag-sep-2~+02-15-00,871.5615224721992,0.0
mag-sep-2~+02-16-00,877.7100515098261,0.0
mag-sep-2~+02-17-00,950.2179565922461,0.0
mag-sep-2~+02-18-00,923.9300645702722,0.0
mag-sep-2~+02-19-00,951.3314299514232,0.0
mag-sep-2~+02-20-00,996.0403391791901,0.0
mag-sep-2~+02-21-00,1009.0233758310276,0.0
mag-sep-2~+02-22-00,1106.2087906011739,0.0
mag-sep-2~+02-23-00,1169.1178841067874,0.0
mag-sep-2~+03-00-00,1218.522180403069,0.0
mag-sep-2~+03-01-00,1247.9257617409814,0.0
mag-sep-2~+03-02-00,1213.8528451731138,0.0
mag-sep-2~+03-03-00,1228.7961699136245,0.0
mag-sep-2~+03-04-00,1221.08929883023,0.0
mag-sep-2~+03-05-00,1148.67273259675,0.0
mag-sep-2~+03-06-00,1145.864263051773,0.0
mag-sep-2~+03-07-00,1164.156100108384,0.0
mag-sep-2~+03-08-00,1243.1367225231927,0.0
mag-sep-2~+03-09-00,1318.2966372949884,0.0
mag-sep-2~+03-10-00,1336.1224418957527,0.0
mag-sep-2~+03-11-00,1384.464096072846,0.0
mag-sep-2~+03-12-00,1359.1251597161677,0.0
mag-sep-2~+03-13-00,1274.2050266625101,0.0
mag-sep-2~+03-14-00,1201.2338261069208,0.0
mag-sep-2~+03-15-00,1129.7995180629466,0.0
mag-sep-2~+03-16-00,1177.7914946434512,0.0
mag-sep-2~+03-17-00,1219.700945027104,0.0
mag-sep-2~+03-18-00,1209.329783872517,0.0
mag-sep-2~+03-19-00,1189.850370729785,0.0
mag-sep-2~+03-20-00,1122.2496262775153,0.0
mag-sep-2~+03-21-00,1116.1550025338881,0.0
mag-sep-2~+03-22-00,1109.8049108528958,0.0
mag-sep-2~+03-23-00,1125.193351533178,0.0
mag-sep-2~+04-00-00,1145.4133556323882,0.0
