trace,op_ems,emb_ems
montage-jul-1,29.746335965419192,0.0
montage-jul-1~+00-01-00,30.850338225474935,0.0
montage-jul-1~+00-02-00,19.945414106742007,0.0
montage-jul-1~+00-03-00,24.1791104464823,0.0
montage-jul-1~+00-04-00,19.382961221789845,0.0
montage-jul-1~+00-05-00,21.876659970984694,0.0
montage-jul-1~+00-06-00,16.760282408669664,0.0
montage-jul-1~+00-07-00,32.31860651772036,0.0
montage-jul-1~+00-08-00,26.796052047130733,0.0
montage-jul-1~+00-09-00,33.15918490721442,0.0
montage-jul-1~+00-10-00,40.73124620239471,0.0
montage-jul-1~+00-11-00,38.194331598066356,0.0
montage-jul-1~+00-12-00,40.93788036316005,0.0
montage-jul-1~+00-13-00,35.76891969464838,0.0
montage-jul-1~+00-14-00,25.86743562634991,0.0
montage-jul-1~+00-15-00,14.116659359735669,0.0
montage-jul-1~+00-16-00,16.702237713474556,0.0
montage-jul-1~+00-17-00,17.81042643784084,0.0
montage-jul-1~+00-18-00,17.874869427109406,0.0
montage-jul-1~+00-19-00,18.960798820331696,0.0
montage-jul-1~+00-20-00,16.53308020819572,0.0
montage-jul-1~+00-21-00,20.737103706707472,0.0
montage-jul-1~+00-22-00,22.633891658925926,0.0
montage-jul-1~+00-23-00,25.743715164237297,0.0
montage-jul-1~+01-00-00,21.794554929481986,0.0
montage-jul-1~+01-01-00,19.273403103831352,0.0
montage-jul-1~+01-02-00,13.571558101166682,0.0
montage-jul-1~+01-03-00,15.716098041424425,0.0
montage-jul-1~+01-04-00,7.373113159546829,0.0
montage-jul-1~+01-05-00,8.7415256876343,0.0
montage-jul-1~+01-06-00,13.751937610601411,0.0
montage-jul-1~+01-07-00,17.834339332968327,0.0
montage-jul-1~+01-08-00,23.1036746124646,0.0
montage-jul-1~+01-09-00,24.732410149442938,0.0
montage-jul-1~+01-10-00,41.29477528029518,0.0
montage-jul-1~+01-11-00,45.87376800718612,0.0
montage-jul-1~+01-12-00,43.15857995893808,0.0
montage-jul-1~+01-13-00,53.29892934793169,0.0
montage-jul-1~+01-14-00,39.21069036718402,0.0
montage-jul-1~+01-15-00,27.454225764303434,0.0
montage-jul-1~+01-16-00,32.56178136975694,0.0
montage-jul-1~+01-17-00,32.94095163089942,0.0
montage-jul-1~+01-18-00,34.51390455285983,0.0
montage-jul-1~+01-19-00,27.638210979872262,0.0
montage-jul-1~+01-20-00,43.30062151097396,0.0
montage-jul-1~+01-21-00,42.262390016338124,0.0
montage-jul-1~+01-22-00,45.12842011836666,0.0
montage-jul-1~+01-23-00,52.12967296478222,0.0
montage-jul-1~+02-00-00,42.62716959408443,0.0
montage-jul-1~+02-01-00,42.402483508527126,0.0
montage-jul-1~+02-02-00,27.69628172490603,0.0
montage-jul-1~+02-03-00,37.62291051379423,0.0
montage-jul-1~+02-04-00,36.37483626948652,0.0
montage-jul-1~+02-05-00,32.646736283115686,0.0
montage-jul-1~+02-06-00,37.30609135990682,0.0
montage-jul-1~+02-07-00,35.2934062105644,0.0
montage-jul-1~+02-08-00,41.2546978502373,0.0
montage-jul-1~+02-09-00,51.50775201331329,0.0
montage-jul-1~+02-10-00,59.20033138420819,0.0
montage-jul-1~+02-11-00,61.32967905251901,0.0
montage-jul-1~+02-12-00,60.287182612456384,0.0
montage-jul-1~+02-13-00,64.29838082152823,0.0
montage-jul-1~+02-14-00,44.29342830802003,0.0
montage-jul-1~+02-15-00,35.57091978754842,0.0
montage-jul-1~+02-16-00,35.52619431573169,0.0
montage-jul-1~+02-17-00,29.22534907593644,0.0
montage-jul-1~+02-18-00,33.34520388611429,0.0
montage-jul-1~+02-19-00,33.36203045018056,0.0
montage-jul-1~+02-20-00,38.38271849821522,0.0
montage-jul-1~+02-21-00,34.320250858010375,0.0
montage-jul-1~+02-22-00,41.94667892091488,0.0
montage-jul-1~+02-23-00,45.23180574976905,0.0
montage-jul-1~+03-00-00,29.139048545480684,0.0
montage-jul-1~+03-01-00,47.873760997406286,0.0
montage-jul-1~+03-02-00,28.427459427658203,0.0
montage-jul-1~+03-03-00,27.316953582186766,0.0
montage-jul-1~+03-04-00,31.44596828364976,0.0
montage-jul-1~+03-05-00,27.86705759393166,0.0
montage-jul-1~+03-06-00,20.650534726993776,0.0
montage-jul-1~+03-07-00,33.51458619481465,0.0
montage-jul-1~+03-08-00,38.61348888848765,0.0
montage-jul-1~+03-09-00,35.23593600862643,0.0
montage-jul-1~+03-10-00,37.92973100702196,0.0
montage-jul-1~+03-11-00,43.1516081082676,0.0
montage-jul-1~+03-12-00,38.884363631828435,0.0
montage-jul-1~+03-13-00,45.68385619952375,0.0
montage-jul-1~+03-14-00,32.66085196647362,0.0
montage-jul-1~+03-15-00,21.726675144421634,0.0
montage-jul-1~+03-16-00,17.825878307481066,0.0
montage-jul-1~+03-17-00,21.334220769228395,0.0
montage-jul-1~+03-18-00,17.96248745912518,0.0
montage-jul-1~+03-19-00,26.366534482566024,0.0
montage-jul-1~+03-20-00,23.154361985883824,0.0
montage-jul-1~+03-21-00,27.524627046688227,0.0
montage-jul-1~+03-22-00,24.891553855086478,0.0
montage-jul-1~+03-23-00,24.360513719730132,0.0
montage-jul-1~+04-00-00,23.252501482797122,0.0
