trace,op_ems,emb_ems
montage-jun-2,127.08132925646893,0.0
montage-jun-2~+00-01-00,117.96514453245553,0.0
montage-jun-2~+00-02-00,121.03732425041255,0.0
montage-jun-2~+00-03-00,124.18377927782142,0.0
montage-jun-2~+00-04-00,112.12607565624309,0.0
montage-jun-2~+00-05-00,132.03074798251635,0.0
montage-jun-2~+00-06-00,128.55911794622597,0.0
montage-jun-2~+00-07-00,137.1544191844325,0.0
montage-jun-2~+00-08-00,120.24958372407028,0.0
montage-jun-2~+00-09-00,132.72442518254002,0.0
montage-jun-2~+00-10-00,137.5379878957388,0.0
montage-jun-2~+00-11-00,142.9357087995473,0.0
montage-jun-2~+00-12-00,139.79135066471014,0.0
montage-jun-2~+00-13-00,134.65049876236225,0.0
montage-jun-2~+00-14-00,137.93337949830976,0.0
montage-jun-2~+00-15-00,130.16703291366133,0.0
montage-jun-2~+00-16-00,127.40624292174279,0.0
montage-jun-2~+00-17-00,128.97218596263198,0.0
montage-jun-2~+00-18-00,128.06885149301974,0.0
montage-jun-2~+00-19-00,121.49460265575289,0.0
montage-jun-2~+00-20-00,119.77559668219794,0.0
montage-jun-2~+00-21-00,113.14580115211693,0.0
montage-jun-2~+00-22-00,128.96445415684104,0.0
montage-jun-2~+00-23-00,127.20155062874123,0.0
montage-jun-2~+01-00-00,128.27215930044414,0.0
montage-jun-2~+01-01-00,122.00980215593498,0.0
montage-jun-2~+01-02-00,127.69957689340498,0.0
montage-jun-2~+01-03-00,117.04334095341748,0.0
montage-jun-2~+01-04-00,112.88625863881431,0.0
montage-jun-2~+01-05-00,116.69947498302507,0.0
montage-jun-2~+01-06-00,126.79807588921713,0.0
montage-jun-2~+01-07-00,134.12763330354576,0.0
montage-jun-2~+01-08-00,147.52171823456808,0.0
montage-jun-2~+01-09-00,139.0392627314544,0.0
montage-jun-2~+01-10-00,132.58155224448876,0.0
montage-jun-2~+01-11-00,134.08075673190234,0.0
montage-jun-2~+01-12-00,135.55220578733687,0.0
montage-jun-2~+01-13-00,128.8716666578947,0.0
montage-jun-2~+01-14-00,141.09330817285198,0.0
montage-jun-2~+01-15-00,138.14139948540438,0.0
montage-jun-2~+01-16-00,126.65374079663928,0.0
montage-jun-2~+01-17-00,127.26942393421707,0.0
montage-jun-2~+01-18-00,129.59483227772074,0.0
montage-jun-2~+01-19-00,127.64569475618926,0.0
montage-jun-2~+01-20-00,122.7634169899555,0.0
montage-jun-2~+01-21-00,118.09207044282356,0.0
montage-jun-2~+01-22-00,122.48405365442771,0.0
montage-jun-2~+01-23-00,121.81487917274613,0.0
montage-jun-2~+02-00-00,126.45014906006827,0.0
montage-jun-2~+02-01-00,120.40827944235618,0.0
montage-jun-2~+02-02-00,121.44989786494047,0.0
montage-jun-2~+02-03-00,128.26941996931185,0.0
montage-jun-2~+02-04-00,122.76480680647819,0.0
montage-jun-2~+02-05-00,127.03426660156906,0.0
montage-jun-2~+02-06-00,126.15322123265695,0.0
montage-jun-2~+02-07-00,123.50412902005984,0.0
montage-jun-2~+02-08-00,125.82960757076947,0.0
montage-jun-2~+02-09-00,132.6824606089514,0.0
montage-jun-2~+02-10-00,140.45975246664116,0.0
montage-jun-2~+02-11-00,137.26908668207147,0.0
montage-jun-2~+02-12-00,130.3707067417169,0.0
montage-jun-2~+02-13-00,130.1708547436338,0.0
montage-jun-2~+02-14-00,131.28497954469103,0.0
montage-jun-2~+02-15-00,129.5920311024264,0.0
montage-jun-2~+02-16-00,120.08818181938085,0.0
montage-jun-2~+02-17-00,121.1366469426456,0.0
montage-jun-2~+02-18-00,120.43181095411963,0.0
montage-jun-2~+02-19-00,123.07518811155133,0.0
montage-jun-2~+02-20-00,118.9423164884141,0.0
montage-jun-2~+02-21-00,128.88434714542595,0.0
montage-jun-2~+02-22-00,121.85117221364483,0.0
montage-jun-2~+02-23-00,131.34264655801005,0.0
montage-jun-2~+03-00-00,132.90262519451983,0.0
montage-jun-2~+03-01-00,119.67703836750968,0.0
montage-jun-2~+03-02-00,124.39102335255954,0.0
montage-jun-2~+03-03-00,123.73211179699692,0.0
montage-jun-2~+03-04-00,121.27818982429045,0.0
montage-jun-2~+03-05-00,126.92536269555738,0.0
montage-jun-2~+03-06-00,136.01573095136254,0.0
montage-jun-2~+03-07-00,132.94200008962991,0.0
montage-jun-2~+03-08-00,131.1925410149107,0.0
montage-jun-2~+03-09-00,131.96019322815414,0.0
montage-jun-2~+03-10-00,144.41305471861935,0.0
montage-jun-2~+03-11-00,134.6041096521238,0.0
montage-jun-2~+03-12-00,134.99316545133115,0.0
montage-jun-2~+03-13-00,133.74444362286445,0.0
montage-jun-2~+03-14-00,135.6835273180237,0.0
montage-jun-2~+03-15-00,132.84975765760052,0.0
montage-jun-2~+03-16-00,125.44122184222338,0.0
montage-jun-2~+03-17-00,123.17658655998932,0.0
montage-jun-2~+03-18-00,124.74995905431821,0.0
montage-jun-2~+03-19-00,124.73847632311615,0.0
montage-jun-2~+03-20-00,126.5791138894803,0.0
montage-jun-2~+03-21-00,120.87054733267034,0.0
montage-jun-2~+03-22-00,131.27080430534807,0.0
montage-jun-2~+03-23-00,126.11119108743597,0.0
montage-jun-2~+04-00-00,125.8206537603962,0.0
